layer,top_prediction,target_rank,target_prob
0,amsbsy,28680,9.549046353640733e-08
1,pril,35281,4.8657895490578085e-08
2,ibase,32518,9.793414790237875e-08
3,pril,32147,1.2372787239200989e-07
4,pril,28295,3.7922868045825453e-07
5,pril,26184,1.0727068229243741e-06
6,��,18513,3.5758171179622877e-06
7,HECK,18067,4.125424311496317e-06
8,HECK,26896,1.8710837821345194e-06
9,HECK,35029,7.525600267399568e-07
10,HECK,7088,9.532035619486123e-06
11,HECK,13727,5.3412904890137725e-06
12,HECK,955,0.00012404803419485688
13,HECK,144,0.0006118891760706902
14, CURI,36,0.0019896116573363543
15, CURI,20,0.002721296390518546
16, CURI,9,0.006430912297219038
17, CURI,7,0.019225915893912315
18, image,1,0.20198896527290344
19, image,1,0.23590584099292755
20, image,1,0.3823602795600891
21, image,1,0.6405352354049683
22, image,1,0.5091387629508972
23, image,1,0.5219178795814514
24, image,1,0.6593049764633179
25, image,1,0.46242210268974304
26, image,1,0.34964287281036377
27, image,1,0.41702044010162354
28, image,1,0.4749521017074585
29, image,1,0.5724955797195435
30, image,1,0.7355567216873169
31, image,1,0.9183275103569031
