layer,attn_logit,mlp_logit,dominant
0,0.8301410675048828,2.2108781337738037,MLP
1,0.179659903049469,0.7397102117538452,MLP
2,-0.2626575827598572,-0.0074294209480285645,ATTN
3,-0.2864342927932739,0.32559263706207275,MLP
4,-0.16880887746810913,0.5854023098945618,MLP
5,1.0173300504684448,-0.9316149353981018,ATTN
6,0.4065662622451782,-0.21328429877758026,ATTN
7,0.008732587099075317,1.173869013786316,MLP
8,0.5452747344970703,0.0290432870388031,ATTN
9,-0.31239283084869385,0.0988847017288208,ATTN
10,-0.41907599568367004,-0.5218373537063599,MLP
11,-0.4335823655128479,0.5889749526977539,MLP
12,0.2770073711872101,0.9017391204833984,MLP
13,0.15855251252651215,0.165382981300354,MLP
14,-0.7941510677337646,2.003838539123535,MLP
15,0.3596183955669403,0.9502650499343872,MLP
16,1.5084326267242432,0.8756908178329468,ATTN
17,-0.07464373111724854,1.2825719118118286,MLP
18,2.0362348556518555,2.7686378955841064,MLP
19,-1.0097333192825317,3.2185912132263184,MLP
20,-0.6989831924438477,2.1059353351593018,MLP
21,1.849863886833191,3.6402924060821533,MLP
22,1.6075389385223389,2.7553768157958984,MLP
23,1.0308263301849365,1.8252216577529907,MLP
24,0.14593714475631714,0.9565838575363159,MLP
25,0.4734190106391907,3.3927512168884277,MLP
26,0.07937920093536377,1.5758466720581055,MLP
27,0.6999179124832153,1.9793975353240967,MLP
28,1.1856467723846436,1.6874139308929443,MLP
29,0.11841368675231934,0.5822276473045349,MLP
30,0.06611493229866028,0.3380753993988037,MLP
31,-0.17414136230945587,-3.5355677604675293,MLP
