layer,head,logit,abs_logit
0,0,-0.28853368759155273,0.28853368759155273
0,1,0.057815246284008026,0.057815246284008026
0,2,-0.0031116940081119537,0.0031116940081119537
0,3,0.0993070900440216,0.0993070900440216
0,4,-0.06476001441478729,0.06476001441478729
0,5,-0.01541719026863575,0.01541719026863575
0,6,0.08847397565841675,0.08847397565841675
0,7,-0.008954907767474651,0.008954907767474651
0,8,0.05644306540489197,0.05644306540489197
0,9,-0.007519438862800598,0.007519438862800598
0,10,-0.13730120658874512,0.13730120658874512
0,11,0.04255122318863869,0.04255122318863869
0,12,0.07045753300189972,0.07045753300189972
0,13,-0.030347352847456932,0.030347352847456932
0,14,-0.01278751716017723,0.01278751716017723
0,15,-0.013489148579537868,0.013489148579537868
0,16,0.02159741148352623,0.02159741148352623
0,17,-0.03902028873562813,0.03902028873562813
0,18,0.025162938982248306,0.025162938982248306
0,19,0.014500492252409458,0.014500492252409458
0,20,0.04153817147016525,0.04153817147016525
0,21,-0.1811373233795166,0.1811373233795166
0,22,0.002370748668909073,0.002370748668909073
0,23,0.009771443903446198,0.009771443903446198
0,24,-0.02714654430747032,0.02714654430747032
0,25,0.017058992758393288,0.017058992758393288
0,26,0.265311062335968,0.265311062335968
0,27,-0.0676679015159607,0.0676679015159607
0,28,-0.09732223302125931,0.09732223302125931
0,29,0.009960005059838295,0.009960005059838295
0,30,0.13073627650737762,0.13073627650737762
0,31,-0.01275365799665451,0.01275365799665451
1,0,0.017327500507235527,0.017327500507235527
1,1,0.014504121616482735,0.014504121616482735
1,2,-0.005110082216560841,0.005110082216560841
1,3,-0.03271911293268204,0.03271911293268204
1,4,0.07131079584360123,0.07131079584360123
1,5,-0.07330195605754852,0.07330195605754852
1,6,-0.031190864741802216,0.031190864741802216
1,7,0.15974776446819305,0.15974776446819305
1,8,-0.06900942325592041,0.06900942325592041
1,9,-0.08520933985710144,0.08520933985710144
1,10,-7.691048085689545e-05,7.691048085689545e-05
1,11,0.011801622807979584,0.011801622807979584
1,12,0.03742193803191185,0.03742193803191185
1,13,0.020053355023264885,0.020053355023264885
1,14,-0.012448137626051903,0.012448137626051903
1,15,-0.01819177344441414,0.01819177344441414
1,16,-0.08354916423559189,0.08354916423559189
1,17,0.0384489968419075,0.0384489968419075
1,18,0.019296444952487946,0.019296444952487946
1,19,0.020989462733268738,0.020989462733268738
1,20,-0.0734332799911499,0.0734332799911499
1,21,0.054504841566085815,0.054504841566085815
1,22,-0.0022277487441897392,0.0022277487441897392
1,23,-0.04348624497652054,0.04348624497652054
1,24,-0.023298658430576324,0.023298658430576324
1,25,-0.01831866055727005,0.01831866055727005
1,26,-0.04195886105298996,0.04195886105298996
1,27,-0.03906697779893875,0.03906697779893875
1,28,-0.06896178424358368,0.06896178424358368
1,29,-0.005001125857234001,0.005001125857234001
1,30,0.02136152610182762,0.02136152610182762
1,31,0.07178529351949692,0.07178529351949692
2,0,-0.025400454178452492,0.025400454178452492
2,1,0.034943319857120514,0.034943319857120514
2,2,-0.00656096450984478,0.00656096450984478
2,3,0.01973462849855423,0.01973462849855423
2,4,0.01566523313522339,0.01566523313522339
2,5,0.03097127005457878,0.03097127005457878
2,6,0.03616679459810257,0.03616679459810257
2,7,0.048313502222299576,0.048313502222299576
2,8,0.01882951706647873,0.01882951706647873
2,9,-0.0046992190182209015,0.0046992190182209015
2,10,0.02367822825908661,0.02367822825908661
2,11,-0.01758304424583912,0.01758304424583912
2,12,-0.004891637712717056,0.004891637712717056
2,13,0.01268809661269188,0.01268809661269188
2,14,0.04164979234337807,0.04164979234337807
2,15,-0.04260951653122902,0.04260951653122902
2,16,0.006698630750179291,0.006698630750179291
2,17,-0.017874274402856827,0.017874274402856827
2,18,-0.01468745432794094,0.01468745432794094
2,19,-0.022529032081365585,0.022529032081365585
2,20,-0.02227487601339817,0.02227487601339817
2,21,0.013358812779188156,0.013358812779188156
2,22,0.03734675794839859,0.03734675794839859
2,23,-0.0477767139673233,0.0477767139673233
2,24,0.044475968927145004,0.044475968927145004
2,25,0.0087529756128788,0.0087529756128788
2,26,0.00022565806284546852,0.00022565806284546852
2,27,-0.03225525841116905,0.03225525841116905
2,28,-0.0010330863296985626,0.0010330863296985626
2,29,0.022559240460395813,0.022559240460395813
2,30,0.059803612530231476,0.059803612530231476
2,31,0.045952558517456055,0.045952558517456055
3,0,0.039551109075546265,0.039551109075546265
3,1,-0.016367262229323387,0.016367262229323387
3,2,-0.004020851105451584,0.004020851105451584
3,3,0.029337961226701736,0.029337961226701736
3,4,0.030583634972572327,0.030583634972572327
3,5,0.006801798939704895,0.006801798939704895
3,6,-0.0078031569719314575,0.0078031569719314575
3,7,-0.013275053352117538,0.013275053352117538
3,8,-0.011288327164947987,0.011288327164947987
3,9,0.00827324204146862,0.00827324204146862
3,10,0.003936197608709335,0.003936197608709335
3,11,-0.013614427298307419,0.013614427298307419
3,12,0.017995042726397514,0.017995042726397514
3,13,-0.022577252238988876,0.022577252238988876
3,14,0.013143463991582394,0.013143463991582394
3,15,-0.16159775853157043,0.16159775853157043
3,16,-0.16505582630634308,0.16505582630634308
3,17,-0.0108829690143466,0.0108829690143466
3,18,-0.03272715210914612,0.03272715210914612
3,19,0.0542171448469162,0.0542171448469162
3,20,0.010502045974135399,0.010502045974135399
3,21,-0.023743784055113792,0.023743784055113792
3,22,0.007273433730006218,0.007273433730006218
3,23,0.052123695611953735,0.052123695611953735
3,24,0.04839840531349182,0.04839840531349182
3,25,0.016460739076137543,0.016460739076137543
3,26,-0.05664830654859543,0.05664830654859543
3,27,-0.008550958707928658,0.008550958707928658
3,28,0.011719991452991962,0.011719991452991962
3,29,0.00427116546779871,0.00427116546779871
3,30,0.04034598916769028,0.04034598916769028
3,31,-0.0467413067817688,0.0467413067817688
4,0,-0.03257410600781441,0.03257410600781441
4,1,0.012317035347223282,0.012317035347223282
4,2,-0.049559395760297775,0.049559395760297775
4,3,0.009230973199009895,0.009230973199009895
4,4,0.08663478493690491,0.08663478493690491
4,5,0.019740749150514603,0.019740749150514603
4,6,0.04573509097099304,0.04573509097099304
4,7,0.06497412174940109,0.06497412174940109
4,8,-0.02095901407301426,0.02095901407301426
4,9,-0.02750864438712597,0.02750864438712597
4,10,0.005416915751993656,0.005416915751993656
4,11,0.013961207121610641,0.013961207121610641
4,12,0.04841659218072891,0.04841659218072891
4,13,-0.05004873126745224,0.05004873126745224
4,14,-0.020854022353887558,0.020854022353887558
4,15,0.02071773074567318,0.02071773074567318
4,16,-0.06410355865955353,0.06410355865955353
4,17,-0.010977497324347496,0.010977497324347496
4,18,0.09766016900539398,0.09766016900539398
4,19,0.003294801339507103,0.003294801339507103
4,20,0.0365201011300087,0.0365201011300087
4,21,-0.008399157784879208,0.008399157784879208
4,22,-0.05450381338596344,0.05450381338596344
4,23,0.035179249942302704,0.035179249942302704
4,24,-0.01901230402290821,0.01901230402290821
4,25,0.08920183777809143,0.08920183777809143
4,26,-0.0493943989276886,0.0493943989276886
4,27,-0.004936773329973221,0.004936773329973221
4,28,0.02423546463251114,0.02423546463251114
4,29,-0.006837170571088791,0.006837170571088791
4,30,0.03995787352323532,0.03995787352323532
4,31,-0.045998260378837585,0.045998260378837585
5,0,-0.01113012433052063,0.01113012433052063
5,1,0.021708227694034576,0.021708227694034576
5,2,0.025814242660999298,0.025814242660999298
5,3,-0.11601012200117111,0.11601012200117111
5,4,-0.08237536996603012,0.08237536996603012
5,5,0.0345664918422699,0.0345664918422699
5,6,0.050173621624708176,0.050173621624708176
5,7,0.030482329428195953,0.030482329428195953
5,8,-0.10564583539962769,0.10564583539962769
5,9,0.18923255801200867,0.18923255801200867
5,10,-0.0708920955657959,0.0708920955657959
5,11,-0.028054090216755867,0.028054090216755867
5,12,0.0363859087228775,0.0363859087228775
5,13,0.10261470824480057,0.10261470824480057
