layer,attn_logit,mlp_logit,dominant
0,-0.16751956939697266,-0.11906728148460388,ATTN
1,1.1584631204605103,0.1909206658601761,ATTN
2,0.34982287883758545,0.11995353549718857,ATTN
3,0.12866559624671936,0.13799552619457245,MLP
4,0.4608495235443115,-0.6858400106430054,MLP
5,1.5131044387817383,-0.292019248008728,ATTN
6,0.5934795141220093,-0.3900418281555176,ATTN
7,0.37281161546707153,0.05814100801944733,ATTN
8,1.1031690835952759,-0.5388170480728149,ATTN
9,0.253705769777298,0.2905060648918152,MLP
10,2.01604962348938,-1.0219213962554932,ATTN
11,0.652691125869751,-1.490736484527588,MLP
12,1.2024916410446167,-0.96113121509552,ATTN
13,2.0460073947906494,-0.6804183125495911,ATTN
14,2.124178409576416,-0.4460429847240448,ATTN
15,1.3020542860031128,1.0818872451782227,ATTN
16,5.088537216186523,0.6171406507492065,ATTN
17,2.569521903991699,1.2328850030899048,ATTN
18,0.35098493099212646,2.014511823654175,MLP
19,-0.6880797147750854,4.773690700531006,MLP
20,3.0499727725982666,4.155183792114258,MLP
21,4.196346282958984,3.116675853729248,ATTN
22,1.587167501449585,1.821106195449829,MLP
23,0.3618614971637726,-0.09018880128860474,ATTN
24,1.2422277927398682,1.2704037427902222,MLP
25,0.15645459294319153,1.1587889194488525,MLP
26,0.11610981076955795,0.44742897152900696,MLP
27,2.422807455062866,0.0537337064743042,ATTN
28,0.976280927658081,-0.623725414276123,ATTN
29,0.8347662687301636,1.333137035369873,MLP
30,-0.07216718792915344,-0.4326894283294678,MLP
31,0.9281561374664307,0.2503167390823364,ATTN
