layer,head,binding_score
0,0,0.1302
0,3,0.1207
0,5,0.2532
0,9,0.2676
0,11,0.5662
0,12,0.4891
0,15,0.2323
0,16,0.1883
0,20,0.1174
0,21,0.5791
0,24,0.1654
0,25,0.1352
0,27,0.1386
0,30,0.1932
0,31,0.151
1,2,0.1328
1,3,0.6486
1,6,0.8132
1,8,0.5388
1,10,0.5997
1,14,0.1782
1,16,0.3304
1,17,0.1121
1,18,0.7459
1,19,0.4908
1,20,0.6274
1,24,0.1033
1,25,0.4001
1,27,0.1838
1,29,0.2217
1,30,0.1167
2,6,0.2778
2,7,0.1888
2,8,0.8866
2,9,0.3148
2,10,0.444
2,11,0.1711
2,13,0.4273
2,16,0.1161
2,18,0.1227
2,20,0.1305
2,21,0.1683
2,22,0.323
2,26,0.3447
2,28,0.3259
2,29,0.2587
3,2,0.5728
3,3,0.8253
3,4,0.1398
3,5,0.1208
3,7,0.8838
3,10,0.5556
3,11,0.1491
3,14,0.8838
3,19,0.1008
3,20,0.1866
3,21,0.913
3,22,0.3734
3,23,0.9559
3,26,0.2287
3,27,0.1271
3,29,0.898
4,1,0.3056
4,3,0.2067
4,8,0.8536
4,9,0.4365
4,12,0.7339
4,15,0.159
4,21,0.1181
4,23,0.1119
4,25,0.4127
4,31,0.3409
5,4,0.2939
5,5,0.1251
5,8,0.5265
5,9,0.1343
5,10,0.7658
5,12,0.2235
5,31,0.1377
6,9,0.7646
6,23,0.2035
6,26,0.3125
6,31,0.1946
7,0,0.1432
7,29,0.1747
8,6,0.3824
8,19,0.619
8,25,0.142
8,31,0.1708
9,3,0.395
9,5,0.1063
10,8,0.3858
10,11,0.3461
10,12,0.4123
10,14,0.1911
10,17,0.604
10,21,0.1666
10,24,0.4903
10,25,0.1162
11,3,0.1193
11,5,0.5824
11,15,0.3988
11,19,0.1942
11,24,0.1592
11,27,0.2778
11,28,0.348
11,29,0.7501
11,31,0.1378
12,8,0.1661
12,15,0.1507
12,16,0.6146
12,17,0.2695
12,19,0.2037
12,20,0.1948
12,22,0.1323
12,23,0.6959
12,30,0.3169
12,31,0.1778
13,2,0.1303
13,7,0.1863
13,14,0.3805
13,15,0.1157
13,19,0.3364
13,21,0.143
13,23,0.1359
13,28,0.1883
13,29,0.1301
13,30,0.1086
14,3,0.1181
14,9,0.1141
14,10,0.6452
14,14,0.3623
14,20,0.4283
15,6,0.4756
15,9,0.4333
15,18,0.1377
15,19,0.2878
15,30,0.7155
16,3,0.2193
16,5,0.3043
16,21,0.1338
16,24,0.1467
16,25,0.1063
16,30,0.4784
17,4,0.3554
17,5,0.1189
17,8,0.243
17,20,0.3121
17,26,0.1134
17,29,0.1395
18,1,0.2561
18,2,0.542
18,12,0.7994
18,22,0.1513
18,26,0.1379
18,27,0.715
18,29,0.5211
19,0,0.7474
19,4,0.5995
19,7,0.1825
19,14,0.3578
19,26,0.2402
19,27,0.1418
19,28,0.1274
20,13,0.495
20,20,0.3884
21,0,0.273
21,9,0.1961
21,13,0.2412
21,14,0.1648
22,3,0.1372
22,10,0.2242
22,19,0.7631
22,25,0.1312
22,31,0.9106
23,13,0.4507
23,26,0.1022
24,3,0.4144
24,12,0.326
24,13,0.3049
24,26,0.1415
25,0,0.6351
25,27,0.6238
26,2,0.1087
26,5,0.6497
26,11,0.4855
26,13,0.5916
26,27,0.1302
27,0,0.8057
27,2,0.4472
27,8,0.2866
27,16,0.3312
27,18,0.3688
27,23,0.2544
27,26,0.4095
27,30,0.6663
28,2,0.8797
28,5,0.2097
28,17,0.3308
28,20,0.8505
28,22,0.2891
29,7,0.9846
29,9,0.1637
29,11,0.5347
29,15,0.424
29,20,0.3308
30,2,0.1226
30,17,0.3242
30,29,0.8171
30,30,0.3749
31,7,0.7971
31,21,0.1903
