layer,head,binding_score,model,compound
13,26,0.4975,12b,altText
13,33,0.1932,12b,altText
13,35,0.3749,12b,altText
14,4,0.1864,12b,altText
14,5,0.1397,12b,altText
14,7,0.4972,12b,altText
14,12,0.3314,12b,altText
14,15,0.1539,12b,altText
14,21,0.1585,12b,altText
14,24,0.27,12b,altText
14,32,0.2074,12b,altText
14,35,0.6452,12b,altText
14,36,0.4073,12b,altText
14,37,0.1079,12b,altText
14,38,0.2978,12b,altText
15,1,0.1974,12b,altText
15,3,0.4157,12b,altText
15,13,0.2199,12b,altText
15,14,0.1844,12b,altText
15,20,0.1446,12b,altText
15,35,0.3385,12b,altText
15,39,0.1535,12b,altText
16,3,0.1123,12b,altText
16,6,0.1834,12b,altText
16,11,0.6352,12b,altText
16,12,0.1123,12b,altText
16,18,0.3763,12b,altText
16,21,0.134,12b,altText
16,23,0.1509,12b,altText
16,25,0.1021,12b,altText
16,26,0.1709,12b,altText
16,36,0.2016,12b,altText
16,38,0.3694,12b,altText
17,3,0.9367,12b,altText
17,4,0.1741,12b,altText
17,5,0.7122,12b,altText
17,6,0.2051,12b,altText
17,28,0.1165,12b,altText
18,18,0.4347,12b,altText
18,24,0.1779,12b,altText
18,30,0.1635,12b,altText
18,37,0.1035,12b,altText
18,39,0.2926,12b,altText
19,6,0.7356,12b,altText
19,11,0.5579,12b,altText
19,32,0.3172,12b,altText
19,33,0.1692,12b,altText
19,37,0.1436,12b,altText
20,17,0.3035,12b,altText
20,24,0.3641,12b,altText
20,27,0.3044,12b,altText
21,1,0.3526,12b,altText
21,7,0.1102,12b,altText
21,9,0.371,12b,altText
21,30,0.1398,12b,altText
22,7,0.1912,12b,altText
22,10,0.1387,12b,altText
22,16,0.1558,12b,altText
22,26,0.4149,12b,altText
22,33,0.1763,12b,altText
23,2,0.1209,12b,altText
23,14,0.1221,12b,altText
24,8,0.2986,12b,altText
24,12,0.3514,12b,altText
24,17,0.7509,12b,altText
25,16,0.2442,12b,altText
25,22,0.1248,12b,altText
25,28,0.3438,12b,altText
25,32,0.5726,12b,altText
26,7,0.4737,12b,altText
26,9,0.3332,12b,altText
26,33,0.3754,12b,altText
26,37,0.1457,12b,altText
26,38,0.1669,12b,altText
28,1,0.1784,12b,altText
28,10,0.2164,12b,altText
28,19,0.253,12b,altText
28,20,0.1556,12b,altText
28,24,0.8781,12b,altText
29,5,0.1997,12b,altText
29,28,0.9442,12b,altText
29,34,0.6034,12b,altText
29,36,0.1568,12b,altText
30,0,0.3046,12b,altText
30,13,0.1433,12b,altText
30,15,0.3152,12b,altText
30,21,0.1754,12b,altText
31,26,0.6399,12b,altText
32,4,0.1513,12b,altText
32,12,0.1923,12b,altText
32,13,0.2186,12b,altText
32,22,0.1564,12b,altText
32,23,0.2068,12b,altText
32,28,0.3834,12b,altText
32,31,0.102,12b,altText
33,9,0.4299,12b,altText
33,16,0.8085,12b,altText
33,18,0.1772,12b,altText
33,19,0.2928,12b,altText
33,24,0.1952,12b,altText
33,27,0.1715,12b,altText
33,33,0.6141,12b,altText
34,2,0.9975,12b,altText
34,12,0.6624,12b,altText
34,20,0.9644,12b,altText
34,30,0.1159,12b,altText
34,36,0.9586,12b,altText
35,0,0.9939,12b,altText
0,0,0.5936,2.8b,screenReader
0,1,0.158,2.8b,screenReader
0,2,0.3208,2.8b,screenReader
0,4,0.1212,2.8b,screenReader
