layer,head,binding_score,model,compound
4,0,0.1008,2.8b,altText
4,6,0.1394,2.8b,altText
4,7,0.5774,2.8b,altText
4,8,0.1663,2.8b,altText
4,9,0.2436,2.8b,altText
4,10,0.151,2.8b,altText
4,16,0.8742,2.8b,altText
4,20,0.296,2.8b,altText
4,22,0.3537,2.8b,altText
4,25,0.309,2.8b,altText
5,6,0.2071,2.8b,altText
5,11,0.1279,2.8b,altText
5,12,0.6585,2.8b,altText
5,13,0.3995,2.8b,altText
5,23,0.1977,2.8b,altText
5,26,0.5295,2.8b,altText
5,29,0.751,2.8b,altText
6,3,0.195,2.8b,altText
6,6,0.2279,2.8b,altText
6,13,0.4314,2.8b,altText
7,14,0.3781,2.8b,altText
7,15,0.1069,2.8b,altText
7,21,0.2156,2.8b,altText
8,3,0.1295,2.8b,altText
8,5,0.1419,2.8b,altText
8,9,0.1931,2.8b,altText
8,10,0.2286,2.8b,altText
8,12,0.1427,2.8b,altText
8,13,0.4524,2.8b,altText
8,19,0.2802,2.8b,altText
8,20,0.1839,2.8b,altText
8,22,0.4439,2.8b,altText
9,1,0.222,2.8b,altText
9,4,0.1046,2.8b,altText
9,9,0.4029,2.8b,altText
9,12,0.1052,2.8b,altText
9,16,0.1328,2.8b,altText
9,18,0.2425,2.8b,altText
9,19,0.1475,2.8b,altText
9,21,0.1475,2.8b,altText
9,25,0.1869,2.8b,altText
9,27,0.2981,2.8b,altText
10,1,0.4915,2.8b,altText
10,6,0.153,2.8b,altText
10,7,0.1379,2.8b,altText
10,14,0.1712,2.8b,altText
10,19,0.4605,2.8b,altText
10,21,0.3199,2.8b,altText
10,22,0.2335,2.8b,altText
10,26,0.3722,2.8b,altText
10,27,0.7194,2.8b,altText
10,29,0.1016,2.8b,altText
10,31,0.1146,2.8b,altText
11,1,0.1433,2.8b,altText
11,2,0.105,2.8b,altText
11,5,0.1843,2.8b,altText
11,10,0.2441,2.8b,altText
11,16,0.1154,2.8b,altText
11,27,0.144,2.8b,altText
12,6,0.1394,2.8b,altText
12,10,0.1167,2.8b,altText
12,14,0.2425,2.8b,altText
12,17,0.1599,2.8b,altText
12,21,0.203,2.8b,altText
12,31,0.656,2.8b,altText
13,25,0.1442,2.8b,altText
14,5,0.2387,2.8b,altText
14,8,0.1776,2.8b,altText
14,9,0.1662,2.8b,altText
14,11,0.115,2.8b,altText
14,12,0.2027,2.8b,altText
14,18,0.1607,2.8b,altText
14,19,0.1267,2.8b,altText
14,22,0.1016,2.8b,altText
14,24,0.142,2.8b,altText
14,29,0.1377,2.8b,altText
15,5,0.2183,2.8b,altText
15,7,0.1408,2.8b,altText
15,16,0.2694,2.8b,altText
15,19,0.2338,2.8b,altText
15,22,0.184,2.8b,altText
16,7,0.2036,2.8b,altText
16,14,0.2373,2.8b,altText
16,15,0.3452,2.8b,altText
16,21,0.2692,2.8b,altText
16,23,0.2922,2.8b,altText
16,26,0.457,2.8b,altText
16,28,0.3801,2.8b,altText
17,2,0.1103,2.8b,altText
17,11,0.1799,2.8b,altText
17,13,0.1811,2.8b,altText
17,16,0.4001,2.8b,altText
17,20,0.5083,2.8b,altText
17,30,0.174,2.8b,altText
18,13,0.1668,2.8b,altText
19,14,0.1848,2.8b,altText
19,15,0.1058,2.8b,altText
19,26,0.105,2.8b,altText
19,28,0.1448,2.8b,altText
20,2,0.1161,2.8b,altText
20,5,0.512,2.8b,altText
20,12,0.1365,2.8b,altText
20,23,0.1527,2.8b,altText
20,28,0.131,2.8b,altText
21,0,0.1481,2.8b,altText
21,6,0.9165,2.8b,altText
21,15,0.2698,2.8b,altText
22,8,0.2422,2.8b,altText
22,22,0.1443,2.8b,altText
22,27,0.2012,2.8b,altText
23,11,0.1269,2.8b,altText
23,15,0.5274,2.8b,altText
23,16,0.2088,2.8b,altText
23,18,0.2706,2.8b,altText
23,19,0.1897,2.8b,altText
23,21,0.3405,2.8b,altText
23,29,0.1237,2.8b,altText
23,31,0.1056,2.8b,altText
24,9,0.2385,2.8b,altText
24,12,0.2833,2.8b,altText
24,25,0.3852,2.8b,altText
25,2,0.8689,2.8b,altText
25,10,0.1728,2.8b,altText
25,24,0.1691,2.8b,altText
26,9,0.7347,2.8b,altText
26,23,0.1185,2.8b,altText
27,9,0.6855,2.8b,altText
27,10,0.2252,2.8b,altText
27,13,0.2022,2.8b,altText
27,24,0.1688,2.8b,altText
27,28,0.5691,2.8b,altText
28,1,0.8669,2.8b,altText
28,2,0.5041,2.8b,altText
28,4,0.5028,2.8b,altText
28,15,0.4097,2.8b,altText
28,28,0.5259,2.8b,altText
29,0,0.2858,2.8b,altText
29,13,0.3103,2.8b,altText
29,20,0.2731,2.8b,altText
29,24,0.4474,2.8b,altText
30,4,0.5508,2.8b,altText
30,20,0.1935,2.8b,altText
30,29,0.3115,2.8b,altText
30,31,0.1877,2.8b,altText
31,10,0.3714,2.8b,altText
0,1,0.109,12b,screenReader
0,3,0.3456,12b,screenReader
0,5,0.2662,12b,screenReader
0,6,0.4179,12b,screenReader
0,7,0.152,12b,screenReader
0,9,0.2361,12b,screenReader
0,11,0.1377,12b,screenReader
0,14,0.1256,12b,screenReader
0,16,0.1656,12b,screenReader
0,18,0.2596,12b,screenReader
0,19,0.2179,12b,screenReader
0,20,0.281,12b,screenReader
0,25,0.1916,12b,screenReader
0,26,0.3342,12b,screenReader
0,27,0.2209,12b,screenReader
0,29,0.1319,12b,screenReader
0,30,0.521,12b,screenReader
0,31,0.5049,12b,screenReader
0,32,0.2087,12b,screenReader
0,33,0.1005,12b,screenReader
0,35,0.1692,12b,screenReader
0,36,0.3913,12b,screenReader
0,38,0.2092,12b,screenReader
0,39,0.3377,12b,screenReader
1,0,0.197,12b,screenReader
1,2,0.1704,12b,screenReader
1,8,0.1716,12b,screenReader
1,9,0.1337,12b,screenReader
1,12,0.1887,12b,screenReader
1,13,0.1648,12b,screenReader
1,14,0.8221,12b,screenReader
1,15,0.9905,12b,screenReader
1,16,0.1971,12b,screenReader
1,20,0.154,12b,screenReader
1,21,0.3436,12b,screenReader
1,22,0.2073,12b,screenReader
1,23,0.1492,12b,screenReader
1,24,0.8421,12b,screenReader
1,26,0.968,12b,screenReader
1,28,0.1184,12b,screenReader
1,31,0.1175,12b,screenReader
1,33,0.1816,12b,screenReader
1,34,0.2885,12b,screenReader
1,35,0.5382,12b,screenReader
1,36,0.1318,12b,screenReader
1,37,0.5627,12b,screenReader
1,38,0.8783,12b,screenReader
2,0,0.5919,12b,screenReader
2,4,0.7344,12b,screenReader
2,7,0.9078,12b,screenReader
2,11,0.1096,12b,screenReader
2,12,0.7227,12b,screenReader
2,13,0.2777,12b,screenReader
2,14,0.7808,12b,screenReader
2,16,0.5962,12b,screenReader
2,18,0.6791,12b,screenReader
2,19,0.8211,12b,screenReader
2,20,0.2145,12b,screenReader
2,22,0.9675,12b,screenReader
2,32,0.9486,12b,screenReader
2,34,0.3069,12b,screenReader
2,38,0.1907,12b,screenReader
3,0,0.1766,12b,screenReader
3,2,0.5186,12b,screenReader
3,3,0.274,12b,screenReader
3,4,0.1032,12b,screenReader
3,7,0.9079,12b,screenReader
3,8,0.7739,12b,screenReader
3,15,0.1558,12b,screenReader
3,20,0.1332,12b,screenReader
3,21,0.7965,12b,screenReader
3,30,0.9091,12b,screenReader
3,32,0.4188,12b,screenReader
3,38,0.1288,12b,screenReader
4,27,0.198,12b,screenReader
4,37,0.1618,12b,screenReader
5,5,0.1702,12b,screenReader
5,28,0.5676,12b,screenReader
6,6,0.4797,12b,screenReader
7,31,0.5419,12b,screenReader
8,13,0.1481,12b,screenReader
8,32,0.2545,12b,screenReader
9,25,0.1852,12b,screenReader
9,34,0.5467,12b,screenReader
9,35,0.4042,12b,screenReader
10,1,0.2102,12b,screenReader
11,13,0.8228,12b,screenReader
11,20,0.1676,12b,screenReader
12,15,0.1166,12b,screenReader
12,32,0.1938,12b,screenReader
14,7,0.5557,12b,screenReader
15,8,0.4353,12b,screenReader
16,1,0.1159,12b,screenReader
16,32,0.1126,12b,screenReader
16,37,0.185,12b,screenReader
18,24,0.2061,12b,screenReader
18,35,0.2807,12b,screenReader
19,11,0.3547,12b,screenReader
19,15,0.7426,12b,screenReader
19,28,0.1422,12b,screenReader
19,33,0.1043,12b,screenReader
25,2,0.1161,12b,screenReader
25,28,0.2419,12b,screenReader
26,9,0.1416,12b,screenReader
29,34,0.1365,12b,screenReader
30,0,0.5217,12b,screenReader
32,1,0.12,12b,screenReader
32,35,0.4841,12b,screenReader
33,0,0.7644,12b,screenReader
33,16,0.8766,12b,screenReader
33,19,0.1611,12b,screenReader
33,27,0.1136,12b,screenReader
33,32,0.5907,12b,screenReader
33,33,0.558,12b,screenReader
33,35,0.4924,12b,screenReader
34,2,0.2432,12b,screenReader
34,12,0.5394,12b,screenReader
34,37,0.1008,12b,screenReader
35,2,0.2998,12b,screenReader
0,0,0.1406,6.9b,screenReader
0,2,0.2945,6.9b,screenReader
0,3,0.3482,6.9b,screenReader
0,4,0.1009,6.9b,screenReader
0,5,0.7073,6.9b,screenReader
0,9,0.2789,6.9b,screenReader
0,11,0.6327,6.9b,screenReader
0,12,0.361,6.9b,screenReader
0,14,0.2445,6.9b,screenReader
0,15,0.2213,6.9b,screenReader
0,17,0.1178,6.9b,screenReader
0,18,0.1506,6.9b,screenReader
0,21,0.3076,6.9b,screenReader
0,24,0.3638,6.9b,screenReader
0,25,0.1353,6.9b,screenReader
0,27,0.371,6.9b,screenReader
0,30,0.5253,6.9b,screenReader
0,31,0.4358,6.9b,screenReader
1,0,0.1722,6.9b,screenReader
1,1,0.3304,6.9b,screenReader
1,2,0.7904,6.9b,screenReader
1,3,0.5188,6.9b,screenReader
1,4,0.1685,6.9b,screenReader
1,6,0.9601,6.9b,screenReader
1,7,0.5518,6.9b,screenReader
1,8,0.9063,6.9b,screenReader
1,9,0.1688,6.9b,screenReader
1,11,0.3141,6.9b,screenReader
1,12,0.2479,6.9b,screenReader
1,13,0.7388,6.9b,screenReader
1,14,0.7421,6.9b,screenReader
1,15,0.5903,6.9b,screenReader
1,16,0.2754,6.9b,screenReader
1,17,0.1699,6.9b,screenReader
1,18,0.8697,6.9b,screenReader
1,19,0.5147,6.9b,screenReader
1,20,0.9127,6.9b,screenReader
1,22,0.1488,6.9b,screenReader
1,23,0.2119,6.9b,screenReader
1,24,0.3879,6.9b,screenReader
1,25,0.5847,6.9b,screenReader
1,27,0.6847,6.9b,screenReader
1,28,0.5831,6.9b,screenReader
1,30,0.4386,6.9b,screenReader
2,5,0.8408,6.9b,screenReader
2,6,0.259,6.9b,screenReader
2,7,0.3291,6.9b,screenReader
2,8,0.9694,6.9b,screenReader
2,9,0.3488,6.9b,screenReader
2,10,0.9693,6.9b,screenReader
2,11,0.2154,6.9b,screenReader
2,12,0.3238,6.9b,screenReader
2,13,0.2419,6.9b,screenReader
2,14,0.1329,6.9b,screenReader
2,15,0.1106,6.9b,screenReader
2,16,0.8577,6.9b,screenReader
2,18,0.986,6.9b,screenReader
2,20,0.2603,6.9b,screenReader
2,21,0.174,6.9b,screenReader
2,22,0.8503,6.9b,screenReader
2,24,0.2228,6.9b,screenReader
2,25,0.1855,6.9b,screenReader
2,28,0.2213,6.9b,screenReader
2,31,0.4883,6.9b,screenReader
3,2,0.7635,6.9b,screenReader
3,3,0.4235,6.9b,screenReader
3,7,0.8412,6.9b,screenReader
3,9,0.2096,6.9b,screenReader
3,10,0.3007,6.9b,screenReader
3,14,0.941,6.9b,screenReader
3,21,0.2023,6.9b,screenReader
3,22,0.2789,6.9b,screenReader
3,23,0.9371,6.9b,screenReader
3,24,0.2573,6.9b,screenReader
3,26,0.3768,6.9b,screenReader
3,29,0.8004,6.9b,screenReader
3,30,0.1124,6.9b,screenReader
4,8,0.2213,6.9b,screenReader
4,9,0.5028,6.9b,screenReader
4,10,0.2373,6.9b,screenReader
4,12,0.6377,6.9b,screenReader
4,26,0.1494,6.9b,screenReader
4,27,0.403,6.9b,screenReader
4,31,0.4412,6.9b,screenReader
5,10,0.7454,6.9b,screenReader
5,12,0.11,6.9b,screenReader
5,31,0.1059,6.9b,screenReader
6,9,0.5744,6.9b,screenReader
6,27,0.132,6.9b,screenReader
6,31,0.29,6.9b,screenReader
7,28,0.2259,6.9b,screenReader
8,6,0.3485,6.9b,screenReader
9,3,0.3223,6.9b,screenReader
10,14,0.2089,6.9b,screenReader
10,24,0.7193,6.9b,screenReader
11,24,0.1949,6.9b,screenReader
11,27,0.1147,6.9b,screenReader
13,14,0.274,6.9b,screenReader
15,0,0.2408,6.9b,screenReader
16,24,0.109,6.9b,screenReader
18,12,0.7683,6.9b,screenReader
19,0,0.2167,6.9b,screenReader
20,1,0.1093,6.9b,screenReader
20,13,0.1791,6.9b,screenReader
21,3,0.1916,6.9b,screenReader
21,7,0.2995,6.9b,screenReader
21,13,0.1439,6.9b,screenReader
22,16,0.1193,6.9b,screenReader
23,0,0.1158,6.9b,screenReader
25,20,0.1887,6.9b,screenReader
27,0,0.2258,6.9b,screenReader
27,11,0.4976,6.9b,screenReader
27,18,0.2839,6.9b,screenReader
28,17,0.1316,6.9b,screenReader
28,20,0.6518,6.9b,screenReader
28,25,0.2799,6.9b,screenReader
29,8,0.135,6.9b,screenReader
29,14,0.1383,6.9b,screenReader
29,15,0.2641,6.9b,screenReader
30,5,0.2593,6.9b,screenReader
30,16,0.1313,6.9b,screenReader
30,29,0.7307,6.9b,screenReader
0,0,0.5725,410m,skipLink
0,4,0.261,410m,skipLink
0,6,0.2996,410m,skipLink
0,7,0.7261,410m,skipLink
0,9,0.2504,410m,skipLink
0,10,0.1285,410m,skipLink
0,14,0.3296,410m,skipLink
1,2,0.5343,410m,skipLink
1,3,0.3215,410m,skipLink
1,5,0.6262,410m,skipLink
1,6,0.5156,410m,skipLink
1,10,0.3676,410m,skipLink
1,11,0.2584,410m,skipLink
1,12,0.3407,410m,skipLink
1,14,0.5596,410m,skipLink
2,7,0.113,410m,skipLink
2,9,0.1855,410m,skipLink
3,1,0.9128,410m,skipLink
3,3,0.2682,410m,skipLink
3,4,0.2377,410m,skipLink
3,5,0.3044,410m,skipLink
3,6,0.6873,410m,skipLink
3,8,0.1163,410m,skipLink
3,10,0.2773,410m,skipLink
3,12,0.2096,410m,skipLink
4,8,0.1025,410m,skipLink
4,9,0.8613,410m,skipLink
4,12,0.109,410m,skipLink
4,13,0.2593,410m,skipLink
4,14,0.1333,410m,skipLink
5,1,0.1168,410m,skipLink
5,2,0.8853,410m,skipLink
5,3,0.2553,410m,skipLink
5,5,0.4646,410m,skipLink
5,9,0.5159,410m,skipLink
5,15,0.1402,410m,skipLink
6,5,0.3427,410m,skipLink
6,11,0.1462,410m,skipLink
6,12,0.2195,410m,skipLink
6,13,0.3832,410m,skipLink
7,2,0.1281,410m,skipLink
8,0,0.3168,410m,skipLink
8,2,0.1844,410m,skipLink
9,5,0.7146,410m,skipLink
9,10,0.1184,410m,skipLink
9,13,0.1006,410m,skipLink
10,1,0.1762,410m,skipLink
10,2,0.6105,410m,skipLink
10,5,0.2103,410m,skipLink
10,14,0.2952,410m,skipLink
11,8,0.2038,410m,skipLink
11,9,0.1258,410m,skipLink
11,11,0.3757,410m,skipLink
11,12,0.1205,410m,skipLink
12,4,0.2734,410m,skipLink
12,5,0.4051,410m,skipLink
12,13,0.3555,410m,skipLink
13,0,0.3204,410m,skipLink
13,8,0.1802,410m,skipLink
14,11,0.1432,410m,skipLink
15,4,0.2381,410m,skipLink
15,11,0.1456,410m,skipLink
17,0,0.1425,410m,skipLink
17,4,0.2089,410m,skipLink
17,14,0.3156,410m,skipLink
19,14,0.1437,410m,skipLink
20,2,0.1173,410m,skipLink
21,2,0.9205,410m,skipLink
21,4,0.1279,410m,skipLink
21,7,0.197,410m,skipLink
21,14,0.2524,410m,skipLink
22,2,0.999,410m,skipLink
22,3,0.1504,410m,skipLink
22,6,0.835,410m,skipLink
22,8,0.9993,410m,skipLink
22,10,0.8177,410m,skipLink
22,11,0.1863,410m,skipLink
23,5,0.6442,410m,skipLink
23,6,0.999,410m,skipLink
23,7,0.2755,410m,skipLink
23,8,0.791,410m,skipLink
0,2,0.1091,6.9b,skipLink
0,3,0.1939,6.9b,skipLink
0,5,0.218,6.9b,skipLink
0,9,0.2651,6.9b,skipLink
0,11,0.3819,6.9b,skipLink
0,12,0.4634,6.9b,skipLink
0,15,0.331,6.9b,skipLink
0,17,0.1107,6.9b,skipLink
0,19,0.118,6.9b,skipLink
0,21,0.2223,6.9b,skipLink
0,24,0.1292,6.9b,skipLink
0,27,0.2842,6.9b,skipLink
0,30,0.4119,6.9b,skipLink
1,0,0.1346,6.9b,skipLink
1,1,0.1393,6.9b,skipLink
1,3,0.136,6.9b,skipLink
1,6,0.8553,6.9b,skipLink
1,8,0.3829,6.9b,skipLink
1,10,0.3234,6.9b,skipLink
1,12,0.4024,6.9b,skipLink
1,14,0.2472,6.9b,skipLink
1,16,0.1023,6.9b,skipLink
1,18,0.6308,6.9b,skipLink
1,19,0.1375,6.9b,skipLink
1,20,0.6808,6.9b,skipLink
1,22,0.2645,6.9b,skipLink
1,24,0.1776,6.9b,skipLink
1,25,0.9587,6.9b,skipLink
1,27,0.1914,6.9b,skipLink
1,28,0.2934,6.9b,skipLink
1,29,0.1849,6.9b,skipLink
1,30,0.1438,6.9b,skipLink
2,3,0.1014,6.9b,skipLink
2,5,0.4686,6.9b,skipLink
2,6,0.1798,6.9b,skipLink
2,7,0.2601,6.9b,skipLink
2,8,0.673,6.9b,skipLink
2,10,0.5929,6.9b,skipLink
2,13,0.1219,6.9b,skipLink
2,16,0.4887,6.9b,skipLink
2,18,0.3469,6.9b,skipLink
2,22,0.6012,6.9b,skipLink
2,25,0.2078,6.9b,skipLink
2,28,0.5086,6.9b,skipLink
2,29,0.1096,6.9b,skipLink
2,31,0.2389,6.9b,skipLink
3,2,0.703,6.9b,skipLink
3,3,0.2778,6.9b,skipLink
3,5,0.4636,6.9b,skipLink
3,7,0.8821,6.9b,skipLink
3,10,0.4366,6.9b,skipLink
3,14,0.9815,6.9b,skipLink
3,20,0.1421,6.9b,skipLink
3,21,0.5731,6.9b,skipLink
3,22,0.1796,6.9b,skipLink
3,23,0.9757,6.9b,skipLink
3,26,0.3579,6.9b,skipLink
3,27,0.1283,6.9b,skipLink
3,29,0.841,6.9b,skipLink
3,31,0.1562,6.9b,skipLink
4,1,0.1329,6.9b,skipLink
4,9,0.8515,6.9b,skipLink
4,12,0.3604,6.9b,skipLink
4,24,0.3639,6.9b,skipLink
4,25,0.125,6.9b,skipLink
4,28,0.1291,6.9b,skipLink
4,31,0.1267,6.9b,skipLink
5,4,0.1409,6.9b,skipLink
5,8,0.7408,6.9b,skipLink
5,9,0.4707,6.9b,skipLink
5,10,0.7145,6.9b,skipLink
6,9,0.7447,6.9b,skipLink
6,15,0.2767,6.9b,skipLink
6,17,0.2803,6.9b,skipLink
6,23,0.1369,6.9b,skipLink
6,27,0.1222,6.9b,skipLink
6,31,0.1654,6.9b,skipLink
7,5,0.1372,6.9b,skipLink
7,18,0.1435,6.9b,skipLink
8,6,0.3664,6.9b,skipLink
8,19,0.1326,6.9b,skipLink
8,20,0.1184,6.9b,skipLink
8,28,0.1105,6.9b,skipLink
9,3,0.5482,6.9b,skipLink
9,26,0.1453,6.9b,skipLink
9,28,0.2728,6.9b,skipLink
10,7,0.2728,6.9b,skipLink
10,14,0.5602,6.9b,skipLink
10,17,0.1295,6.9b,skipLink
10,21,0.1425,6.9b,skipLink
10,24,0.6057,6.9b,skipLink
10,26,0.2812,6.9b,skipLink
10,29,0.2016,6.9b,skipLink
11,19,0.5654,6.9b,skipLink
11,24,0.2357,6.9b,skipLink
11,27,0.1942,6.9b,skipLink
11,29,0.3594,6.9b,skipLink
12,8,0.147,6.9b,skipLink
12,12,0.1454,6.9b,skipLink
12,16,0.1989,6.9b,skipLink
12,17,0.1056,6.9b,skipLink
12,20,0.104,6.9b,skipLink
12,23,0.2256,6.9b,skipLink
12,28,0.29,6.9b,skipLink
13,2,0.2543,6.9b,skipLink
13,28,0.1184,6.9b,skipLink
13,29,0.1487,6.9b,skipLink
13,30,0.149,6.9b,skipLink
14,3,0.1411,6.9b,skipLink
14,10,0.2283,6.9b,skipLink
14,14,0.2786,6.9b,skipLink
14,21,0.175,6.9b,skipLink
15,5,0.1578,6.9b,skipLink
15,6,0.1741,6.9b,skipLink
15,9,0.1431,6.9b,skipLink
16,5,0.2141,6.9b,skipLink
16,13,0.2004,6.9b,skipLink
16,21,0.1537,6.9b,skipLink
16,22,0.1039,6.9b,skipLink
16,30,0.2192,6.9b,skipLink
17,4,0.2509,6.9b,skipLink
17,8,0.1696,6.9b,skipLink
17,12,0.1689,6.9b,skipLink
18,1,0.117,6.9b,skipLink
18,12,0.9732,6.9b,skipLink
18,16,0.1829,6.9b,skipLink
18,26,0.1207,6.9b,skipLink
19,0,0.2811,6.9b,skipLink
19,12,0.2273,6.9b,skipLink
20,0,0.1519,6.9b,skipLink
20,12,0.1123,6.9b,skipLink
20,13,0.1668,6.9b,skipLink
21,3,0.7698,6.9b,skipLink
21,7,0.4746,6.9b,skipLink
21,13,0.2459,6.9b,skipLink
22,12,0.1725,6.9b,skipLink
22,14,0.1363,6.9b,skipLink
22,19,0.653,6.9b,skipLink
24,21,0.1464,6.9b,skipLink
25,20,0.1088,6.9b,skipLink
25,27,0.378,6.9b,skipLink
26,3,0.1757,6.9b,skipLink
26,13,0.5966,6.9b,skipLink
26,25,0.2063,6.9b,skipLink
27,0,0.4921,6.9b,skipLink
27,2,0.2422,6.9b,skipLink
27,18,0.7197,6.9b,skipLink
27,30,0.8328,6.9b,skipLink
28,2,0.9172,6.9b,skipLink
28,17,0.2482,6.9b,skipLink
28,20,0.9088,6.9b,skipLink
28,21,0.2129,6.9b,skipLink
28,25,0.2638,6.9b,skipLink
29,7,0.9295,6.9b,skipLink
29,15,0.3252,6.9b,skipLink
30,29,0.3495,6.9b,skipLink
30,30,0.1803,6.9b,skipLink
31,7,0.3476,6.9b,skipLink
0,0,0.2044,1b,skipLink
0,1,0.2218,1b,skipLink
0,3,0.7983,1b,skipLink
0,5,0.2556,1b,skipLink
1,0,0.3332,1b,skipLink
1,1,0.1069,1b,skipLink
1,2,0.1149,1b,skipLink
1,3,0.7668,1b,skipLink
1,4,0.8488,1b,skipLink
1,6,0.2586,1b,skipLink
2,0,0.4117,1b,skipLink
2,1,0.1803,1b,skipLink
2,2,0.1179,1b,skipLink
2,3,0.1345,1b,skipLink
2,4,0.3557,1b,skipLink
2,6,0.4078,1b,skipLink
3,5,0.9994,1b,skipLink
3,6,0.9288,1b,skipLink
3,7,0.6938,1b,skipLink
5,5,0.2038,1b,skipLink
6,3,0.8928,1b,skipLink
7,3,0.1264,1b,skipLink
7,4,0.1464,1b,skipLink
7,6,0.3114,1b,skipLink
10,1,0.1201,1b,skipLink
12,5,0.1273,1b,skipLink
13,0,0.1301,1b,skipLink
13,4,0.2606,1b,skipLink
13,5,0.1636,1b,skipLink
14,0,0.1255,1b,skipLink
14,3,0.1983,1b,skipLink
15,0,0.1488,1b,skipLink
15,2,0.2602,1b,skipLink
15,5,0.3076,1b,skipLink
15,7,0.129,1b,skipLink
0,0,0.1252,2.8b,skipLink
0,2,0.6708,2.8b,skipLink
0,4,0.3352,2.8b,skipLink
0,5,0.3582,2.8b,skipLink
0,6,0.3704,2.8b,skipLink
0,8,0.3425,2.8b,skipLink
0,10,0.1076,2.8b,skipLink
0,11,0.3146,2.8b,skipLink
0,14,0.4753,2.8b,skipLink
0,16,0.7189,2.8b,skipLink
0,17,0.1585,2.8b,skipLink
0,20,0.7134,2.8b,skipLink
0,21,0.3421,2.8b,skipLink
0,22,0.5276,2.8b,skipLink
0,23,0.1199,2.8b,skipLink
0,25,0.1598,2.8b,skipLink
0,27,0.1168,2.8b,skipLink
0,30,0.4211,2.8b,skipLink
0,31,0.1773,2.8b,skipLink
1,2,0.1407,2.8b,skipLink
1,4,0.3355,2.8b,skipLink
1,6,0.9212,2.8b,skipLink
1,11,0.826,2.8b,skipLink
1,12,0.9839,2.8b,skipLink
1,14,0.4835,2.8b,skipLink
1,15,0.4334,2.8b,skipLink
1,17,0.4711,2.8b,skipLink
1,18,0.2485,2.8b,skipLink
1,20,0.1665,2.8b,skipLink
1,21,0.5002,2.8b,skipLink
1,22,0.4671,2.8b,skipLink
1,23,0.3687,2.8b,skipLink
1,24,0.3206,2.8b,skipLink
1,25,0.6735,2.8b,skipLink
1,27,0.3561,2.8b,skipLink
1,29,0.4463,2.8b,skipLink
1,30,0.3255,2.8b,skipLink
1,31,0.3092,2.8b,skipLink
2,1,0.1214,2.8b,skipLink
2,2,0.1019,2.8b,skipLink
2,5,0.3385,2.8b,skipLink
2,8,0.1355,2.8b,skipLink
2,11,0.1395,2.8b,skipLink
2,17,0.2091,2.8b,skipLink
2,20,0.1798,2.8b,skipLink
2,22,0.2978,2.8b,skipLink
2,27,0.2281,2.8b,skipLink
2,28,0.1466,2.8b,skipLink
2,31,0.1269,2.8b,skipLink
3,0,0.3165,2.8b,skipLink
3,1,0.7867,2.8b,skipLink
3,5,0.1213,2.8b,skipLink
3,10,0.2066,2.8b,skipLink
3,14,0.268,2.8b,skipLink
3,15,0.1683,2.8b,skipLink
3,16,0.2507,2.8b,skipLink
3,23,0.8716,2.8b,skipLink
3,31,0.1194,2.8b,skipLink
4,4,0.1912,2.8b,skipLink
4,10,0.5649,2.8b,skipLink
4,16,0.8858,2.8b,skipLink
4,21,0.1183,2.8b,skipLink
4,25,0.5351,2.8b,skipLink
4,26,0.1647,2.8b,skipLink
5,13,0.2838,2.8b,skipLink
5,17,0.3219,2.8b,skipLink
5,20,0.1612,2.8b,skipLink
5,29,0.2435,2.8b,skipLink
6,6,0.8367,2.8b,skipLink
6,13,0.523,2.8b,skipLink
7,9,0.3243,2.8b,skipLink
7,15,0.5108,2.8b,skipLink
7,29,0.1278,2.8b,skipLink
8,9,0.1406,2.8b,skipLink
8,10,0.1555,2.8b,skipLink
8,11,0.2141,2.8b,skipLink
8,12,0.1418,2.8b,skipLink
8,13,0.1628,2.8b,skipLink
8,16,0.1158,2.8b,skipLink
8,20,0.788,2.8b,skipLink
8,22,0.2137,2.8b,skipLink
9,16,0.1645,2.8b,skipLink
9,18,0.2273,2.8b,skipLink
9,19,0.1088,2.8b,skipLink
9,27,0.1174,2.8b,skipLink
9,30,0.5442,2.8b,skipLink
10,1,0.1483,2.8b,skipLink
10,3,0.1063,2.8b,skipLink
10,6,0.586,2.8b,skipLink
10,14,0.2538,2.8b,skipLink
10,16,0.1586,2.8b,skipLink
10,19,0.5557,2.8b,skipLink
10,21,0.1525,2.8b,skipLink
10,22,0.1931,2.8b,skipLink
10,26,0.5892,2.8b,skipLink
10,27,0.8068,2.8b,skipLink
10,30,0.2335,2.8b,skipLink
11,2,0.2176,2.8b,skipLink
11,3,0.1102,2.8b,skipLink
11,8,0.1524,2.8b,skipLink
11,12,0.1497,2.8b,skipLink
11,23,0.1523,2.8b,skipLink
12,6,0.1802,2.8b,skipLink
12,10,0.2233,2.8b,skipLink
12,14,0.7879,2.8b,skipLink
12,15,0.1916,2.8b,skipLink
12,21,0.1994,2.8b,skipLink
12,31,0.6304,2.8b,skipLink
13,12,0.1187,2.8b,skipLink
13,17,0.4571,2.8b,skipLink
13,25,0.1911,2.8b,skipLink
13,31,0.2003,2.8b,skipLink
14,5,0.1497,2.8b,skipLink
14,8,0.1002,2.8b,skipLink
14,12,0.298,2.8b,skipLink
14,18,0.2658,2.8b,skipLink
14,24,0.1871,2.8b,skipLink
15,5,0.5522,2.8b,skipLink
15,7,0.1962,2.8b,skipLink
15,17,0.4155,2.8b,skipLink
