layer,head,binding_score
0,2,0.1091
0,3,0.1939
0,5,0.218
0,9,0.2651
0,11,0.3819
0,12,0.4634
0,15,0.331
0,17,0.1107
0,19,0.118
0,21,0.2223
0,24,0.1292
0,27,0.2842
0,30,0.4119
1,0,0.1346
1,1,0.1393
1,3,0.136
1,6,0.8553
1,8,0.3829
1,10,0.3234
1,12,0.4024
1,14,0.2472
1,16,0.1023
1,18,0.6308
1,19,0.1375
1,20,0.6808
1,22,0.2645
1,24,0.1776
1,25,0.9587
1,27,0.1914
1,28,0.2934
1,29,0.1849
1,30,0.1438
2,3,0.1014
2,5,0.4686
2,6,0.1798
2,7,0.2601
2,8,0.673
2,10,0.5929
2,13,0.1219
2,16,0.4887
2,18,0.3469
2,22,0.6012
2,25,0.2078
2,28,0.5086
2,29,0.1096
2,31,0.2389
3,2,0.703
3,3,0.2778
3,5,0.4636
3,7,0.8821
3,10,0.4366
3,14,0.9815
3,20,0.1421
3,21,0.5731
3,22,0.1796
3,23,0.9757
3,26,0.3579
3,27,0.1283
3,29,0.841
3,31,0.1562
4,1,0.1329
4,9,0.8515
4,12,0.3604
4,24,0.3639
4,25,0.125
4,28,0.1291
4,31,0.1267
5,4,0.1409
5,8,0.7408
5,9,0.4707
5,10,0.7145
6,9,0.7447
6,15,0.2767
6,17,0.2803
6,23,0.1369
6,27,0.1222
6,31,0.1654
7,5,0.1372
7,18,0.1435
8,6,0.3664
8,19,0.1326
8,20,0.1184
8,28,0.1105
9,3,0.5482
9,26,0.1453
9,28,0.2728
10,7,0.2728
10,14,0.5602
10,17,0.1295
10,21,0.1425
10,24,0.6057
10,26,0.2812
10,29,0.2016
11,19,0.5654
11,24,0.2357
11,27,0.1942
11,29,0.3594
12,8,0.147
12,12,0.1454
12,16,0.1989
12,17,0.1056
12,20,0.104
12,23,0.2256
12,28,0.29
13,2,0.2543
13,28,0.1184
13,29,0.1487
13,30,0.149
14,3,0.1411
14,10,0.2283
14,14,0.2786
14,21,0.175
15,5,0.1578
15,6,0.1741
15,9,0.1431
16,5,0.2141
16,13,0.2004
16,21,0.1537
16,22,0.1039
16,30,0.2192
17,4,0.2509
17,8,0.1696
17,12,0.1689
18,1,0.117
18,12,0.9732
18,16,0.1829
18,26,0.1207
19,0,0.2811
19,12,0.2273
20,0,0.1519
20,12,0.1123
20,13,0.1668
21,3,0.7698
21,7,0.4746
21,13,0.2459
22,12,0.1725
22,14,0.1363
22,19,0.653
24,21,0.1464
25,20,0.1088
25,27,0.378
26,3,0.1757
26,13,0.5966
26,25,0.2063
27,0,0.4921
27,2,0.2422
27,18,0.7197
27,30,0.8328
28,2,0.9172
28,17,0.2482
28,20,0.9088
28,21,0.2129
28,25,0.2638
29,7,0.9295
29,15,0.3252
30,29,0.3495
30,30,0.1803
31,7,0.3476
