layer,head,binding_score
0,3,0.2512
0,5,0.353
0,6,0.1892
0,7,0.2442
0,9,0.384
0,10,0.1955
0,11,0.1623
0,12,0.1577
0,14,0.2479
0,16,0.2923
0,18,0.3044
0,19,0.1023
0,20,0.1341
0,22,0.1617
0,26,0.2027
0,29,0.1079
0,30,0.2625
0,31,0.2637
0,32,0.1295
0,33,0.2124
0,35,0.2398
0,36,0.2026
0,38,0.4798
1,0,0.1664
1,2,0.193
1,9,0.1683
1,12,0.1597
1,13,0.1857
1,14,0.6734
1,15,0.8781
1,16,0.3055
1,20,0.4022
1,22,0.1584
1,24,0.2708
1,26,0.9774
1,28,0.1287
1,34,0.3368
1,35,0.1052
1,36,0.2201
1,37,0.4474
1,38,0.7998
2,0,0.2434
2,4,0.1302
2,7,0.896
2,11,0.1703
2,12,0.7471
2,14,0.8369
2,15,0.1217
2,16,0.7245
2,18,0.4188
2,19,0.2401
2,20,0.2387
2,22,0.6255
2,29,0.1089
2,32,0.8029
2,36,0.2643
2,38,0.2633
2,39,0.1621
3,2,0.1688
3,3,0.181
3,4,0.4217
3,7,0.8539
3,8,0.5393
3,12,0.1254
3,20,0.1043
3,21,0.6143
3,23,0.3003
3,30,0.9662
3,31,0.1691
3,32,0.3369
3,37,0.3025
3,38,0.2962
4,27,0.2621
4,29,0.1133
5,23,0.2544
5,28,0.8665
6,6,0.6445
6,7,0.1003
7,1,0.2114
7,19,0.1386
7,20,0.1105
8,10,0.478
8,32,0.2142
9,12,0.1902
9,17,0.1004
9,18,0.1643
9,20,0.1002
9,24,0.1387
9,25,0.1759
9,34,0.1895
9,35,0.2885
9,39,0.1872
10,1,0.6409
10,16,0.1217
11,4,0.1476
11,8,0.384
11,13,0.7296
11,16,0.3854
11,20,0.1033
11,31,0.3478
11,33,0.5089
11,36,0.1545
11,38,0.179
12,5,0.1877
12,7,0.3671
12,11,0.1164
12,15,0.1134
12,21,0.1019
12,25,0.3698
12,30,0.1577
12,37,0.7238
12,38,0.2401
13,3,0.1495
13,5,0.1893
13,7,0.202
13,19,0.1018
13,30,0.1469
13,35,0.186
14,7,0.7775
14,12,0.5543
14,15,0.2009
14,35,0.1757
14,36,0.3246
15,2,0.5334
15,3,0.2169
15,6,0.1337
15,20,0.238
16,0,0.1172
16,11,0.1509
16,18,0.2009
16,29,0.1784
16,32,0.1292
16,36,0.144
16,37,0.207
17,5,0.3515
17,6,0.4947
17,34,0.1846
19,11,0.8775
19,21,0.1877
19,28,0.1237
19,31,0.1076
19,33,0.3582
19,37,0.88
20,10,0.1076
20,31,0.5879
21,5,0.9194
21,9,0.6271
22,7,0.3694
22,16,0.116
23,2,0.1895
23,14,0.2044
23,35,0.3269
24,17,0.2926
25,2,0.1369
25,11,0.1691
25,28,0.5287
25,35,0.4595
26,7,0.9672
26,9,0.1689
26,37,0.812
26,38,0.1507
28,24,0.6865
29,5,0.114
29,28,0.4916
29,34,0.4633
31,12,0.5125
31,26,0.7472
32,1,0.1193
32,4,0.3826
32,13,0.1051
32,23,0.2361
32,24,0.1765
32,26,0.1125
33,4,0.1527
33,16,0.2162
33,19,0.6323
33,25,0.4295
33,33,0.2079
33,36,0.2159
34,2,0.9321
34,12,0.7825
34,21,0.8207
34,36,0.9821
34,37,0.2726
35,0,0.1069
35,23,0.4534
