layer,head,binding_score
0,0,0.4176
0,2,0.1259
0,4,0.2408
0,8,0.4122
0,10,0.2044
1,1,0.1543
1,2,0.4528
1,5,0.1345
1,11,0.1871
2,1,0.3153
2,2,0.1251
2,3,0.1137
2,4,0.189
2,5,0.1562
2,6,0.2411
2,8,0.702
2,9,0.7013
2,11,0.1835
3,0,0.9526
3,1,0.2633
3,2,0.9774
3,4,0.4788
3,6,0.1155
3,9,0.4426
3,10,0.1968
3,11,0.1493
4,2,0.2511
4,4,0.1082
4,5,0.1087
4,9,0.2793
5,1,0.232
5,8,0.2666
5,11,0.4391
6,2,0.9175
6,3,0.4034
6,4,0.1084
6,5,0.2645
6,9,0.1335
7,7,0.8944
7,8,0.1475
9,0,0.2047
9,3,0.5488
10,1,0.9244
10,5,0.1101
10,9,0.8054
11,0,1.0
11,6,1.0
