layer,head,binding_score
0,1,0.109
0,3,0.3456
0,5,0.2662
0,6,0.4179
0,7,0.152
0,9,0.2361
0,11,0.1377
0,14,0.1256
0,16,0.1656
0,18,0.2596
0,19,0.2179
0,20,0.281
0,25,0.1916
0,26,0.3342
0,27,0.2209
0,29,0.1319
0,30,0.521
0,31,0.5049
0,32,0.2087
0,33,0.1005
0,35,0.1692
0,36,0.3913
0,38,0.2092
0,39,0.3377
1,0,0.197
1,2,0.1704
1,8,0.1716
1,9,0.1337
1,12,0.1887
1,13,0.1648
1,14,0.8221
1,15,0.9905
1,16,0.1971
1,20,0.154
1,21,0.3436
1,22,0.2073
1,23,0.1492
1,24,0.8421
1,26,0.968
1,28,0.1184
1,31,0.1175
1,33,0.1816
1,34,0.2885
1,35,0.5382
1,36,0.1318
1,37,0.5627
1,38,0.8783
2,0,0.5919
2,4,0.7344
2,7,0.9078
2,11,0.1096
2,12,0.7227
2,13,0.2777
2,14,0.7808
2,16,0.5962
2,18,0.6791
2,19,0.8211
2,20,0.2145
2,22,0.9675
2,32,0.9486
2,34,0.3069
2,38,0.1907
3,0,0.1766
3,2,0.5186
3,3,0.274
3,4,0.1032
3,7,0.9079
3,8,0.7739
3,15,0.1558
3,20,0.1332
3,21,0.7965
3,30,0.9091
3,32,0.4188
3,38,0.1288
4,27,0.198
4,37,0.1618
5,5,0.1702
5,28,0.5676
6,6,0.4797
7,31,0.5419
8,13,0.1481
8,32,0.2545
9,25,0.1852
9,34,0.5467
9,35,0.4042
10,1,0.2102
11,13,0.8228
11,20,0.1676
12,15,0.1166
12,32,0.1938
14,7,0.5557
15,8,0.4353
16,1,0.1159
16,32,0.1126
16,37,0.185
18,24,0.2061
18,35,0.2807
19,11,0.3547
19,15,0.7426
19,28,0.1422
19,33,0.1043
25,2,0.1161
25,28,0.2419
26,9,0.1416
29,34,0.1365
30,0,0.5217
32,1,0.12
32,35,0.4841
33,0,0.7644
33,16,0.8766
33,19,0.1611
33,27,0.1136
33,32,0.5907
33,33,0.558
33,35,0.4924
34,2,0.2432
34,12,0.5394
34,37,0.1008
35,2,0.2998
