layer,head,binding_score
0,0,0.1746
0,1,0.4063
0,3,0.6822
0,5,0.1766
1,0,0.4701
1,2,0.1155
1,3,0.6288
1,4,0.9796
1,6,0.2349
2,0,0.4798
2,1,0.3696
2,2,0.5325
2,4,0.1639
2,6,0.2674
2,7,0.1349
3,1,0.1409
3,2,0.2774
3,3,0.3703
3,4,0.1505
3,5,0.9997
3,6,0.8934
3,7,0.619
4,0,0.1473
4,7,0.1572
5,3,0.1144
5,5,0.3637
6,3,0.8619
7,3,0.128
7,4,0.2219
7,5,0.2279
7,6,0.2915
8,3,0.3116
8,5,0.1216
8,7,0.2128
9,0,0.1307
9,6,0.3424
9,7,0.1081
10,3,0.1254
11,4,0.2358
13,0,0.1295
13,1,0.1016
13,4,0.2537
14,0,0.1084
14,2,0.3525
14,3,0.1487
15,3,0.1307
15,7,0.1901
