layer,attn_logit,mlp_logit,dominant
0,1.7009844779968262,1.3070557117462158,ATTN
1,0.8902137875556946,0.9986902475357056,MLP
2,1.0914409160614014,-0.8279715180397034,ATTN
3,-1.3519757986068726,-0.1873781383037567,ATTN
4,-0.22900503873825073,1.6927082538604736,MLP
5,2.412846565246582,-0.05095994472503662,ATTN
6,-0.6759966611862183,3.6118500232696533,MLP
7,4.659675121307373,8.451074600219727,MLP
8,-1.4752421379089355,2.868727684020996,MLP
9,2.7643094062805176,6.0895490646362305,MLP
10,1.0619770288467407,10.624641418457031,MLP
11,7.703073024749756,47.474578857421875,MLP
