layer,top_prediction,target_rank,target_prob
0, becoming,8268,2.1618500045672562e-10
1, subject,1075,2.647957408896673e-08
2, subject,3278,1.0169150244099256e-11
3, usually,2231,1.2384420745858993e-11
4, usually,2453,5.617421458548044e-12
5, usually,1629,1.7983880010175035e-11
6, typically,831,4.222672905784819e-11
7, defined,616,1.2930572168556864e-08
8, typically,227,1.394468762683232e-09
9, generally,247,2.3662523052081497e-09
10, typically,207,2.103859308988376e-08
11, a,127,0.00044647089089266956
