layer,top_prediction,target_rank,target_prob
0, naïve,2502,2.017548794697177e-08
1, naive,221,7.868431566748768e-06
2, generalized,1022,1.4626533584305434e-06
3, flare,843,1.062086539604934e-06
4, contemporary,1809,1.6383204126668716e-08
5, generalized,2147,3.68915276105497e-09
6, nons,796,2.029253920454721e-08
7, generalized,6,0.005873547866940498
8, apparatus,61,0.0001757828867994249
9, entire,105,4.357958459877409e-05
10, alternative,157,2.777798897568573e-07
11, approach,38,0.00403149239718914
