layer,attn_logit,mlp_logit,dominant
0,0.6771557331085205,1.096116304397583,MLP
1,2.394329309463501,0.7318253517150879,ATTN
2,-0.9741106033325195,0.21543794870376587,ATTN
3,0.38167938590049744,1.2511682510375977,MLP
4,1.1521503925323486,-0.8749204277992249,ATTN
5,1.4518916606903076,-0.9175102710723877,ATTN
6,1.3732244968414307,2.3998618125915527,MLP
7,1.9866617918014526,-0.245930016040802,ATTN
8,1.612253189086914,2.4701480865478516,MLP
9,3.7323386669158936,1.106279730796814,ATTN
10,1.3954788446426392,7.484616279602051,MLP
11,6.8563432693481445,45.715660095214844,MLP
