layer,head,reader_to_screen
0,33,0.1005
34,37,0.1008
3,4,0.1032
19,33,0.1043
0,1,0.109
2,11,0.1096
16,32,0.1126
33,27,0.1136
16,1,0.1159
25,2,0.1161
12,15,0.1166
1,31,0.1175
1,28,0.1184
32,1,0.12
0,14,0.1256
3,38,0.1288
1,36,0.1318
0,29,0.1319
3,20,0.1332
1,9,0.1337
29,34,0.1365
0,11,0.1377
26,9,0.1416
19,28,0.1422
8,13,0.1481
1,23,0.1492
0,7,0.152
1,20,0.154
3,15,0.1558
33,19,0.1611
4,37,0.1618
1,13,0.1648
0,16,0.1656
11,20,0.1676
0,35,0.1692
5,5,0.1702
1,2,0.1704
1,8,0.1716
3,0,0.1766
1,33,0.1816
16,37,0.185
9,25,0.1852
1,12,0.1887
2,38,0.1907
0,25,0.1916
12,32,0.1938
1,0,0.197
1,16,0.1971
4,27,0.198
18,24,0.2061
1,22,0.2073
0,32,0.2087
0,38,0.2092
10,1,0.2102
2,20,0.2145
0,19,0.2179
0,27,0.2209
0,9,0.2361
25,28,0.2419
34,2,0.2432
8,32,0.2545
0,18,0.2596
0,5,0.2662
3,3,0.274
2,13,0.2777
18,35,0.2807
0,20,0.281
1,34,0.2885
35,2,0.2998
2,34,0.3069
0,26,0.3342
0,39,0.3377
1,21,0.3436
0,3,0.3456
19,11,0.3547
0,36,0.3913
9,35,0.4042
0,6,0.4179
3,32,0.4188
15,8,0.4353
6,6,0.4797
32,35,0.4841
33,35,0.4924
0,31,0.5049
3,2,0.5186
0,30,0.521
30,0,0.5217
1,35,0.5382
34,12,0.5394
7,31,0.5419
9,34,0.5467
14,7,0.5557
33,33,0.558
1,37,0.5627
5,28,0.5676
33,32,0.5907
2,0,0.5919
2,16,0.5962
2,18,0.6791
2,12,0.7227
2,4,0.7344
19,15,0.7426
33,0,0.7644
3,8,0.7739
2,14,0.7808
3,21,0.7965
2,19,0.8211
1,14,0.8221
11,13,0.8228
1,24,0.8421
33,16,0.8766
1,38,0.8783
2,7,0.9078
3,7,0.9079
3,30,0.9091
2,32,0.9486
2,22,0.9675
1,26,0.968
1,15,0.9905
