layer,head,reader_to_screen
0,0,0.1406
0,2,0.2943
0,3,0.3483
0,4,0.101
0,5,0.7072
0,9,0.2791
0,11,0.633
0,12,0.3608
0,14,0.2445
0,15,0.2213
0,17,0.1177
0,18,0.1504
0,21,0.3074
0,24,0.3638
0,25,0.1352
0,27,0.3707
0,30,0.5252
0,31,0.4356
1,0,0.172
1,1,0.3296
1,2,0.7905
1,3,0.5192
1,4,0.1672
1,6,0.9601
1,7,0.5511
1,8,0.9064
1,9,0.1686
1,11,0.3143
1,12,0.2481
1,13,0.7385
1,14,0.7421
1,15,0.5902
1,16,0.2755
1,17,0.17
1,18,0.8696
1,19,0.5135
1,20,0.9126
1,22,0.1485
1,23,0.2116
1,24,0.3878
1,25,0.5845
1,27,0.6849
1,28,0.5824
1,30,0.4384
2,5,0.8411
2,6,0.2589
2,7,0.3295
2,8,0.9693
2,9,0.3489
2,10,0.9693
2,11,0.216
2,12,0.3244
2,13,0.2426
2,14,0.1331
2,15,0.111
2,16,0.8577
2,18,0.986
2,20,0.2612
2,21,0.1741
2,22,0.8499
2,24,0.2226
2,25,0.1855
2,28,0.2217
2,31,0.4895
3,2,0.7628
3,3,0.4244
3,7,0.841
3,9,0.2102
3,10,0.3011
3,14,0.9409
3,21,0.2018
3,22,0.2791
3,23,0.9369
3,24,0.2567
3,26,0.3768
3,29,0.7998
3,30,0.1123
4,8,0.2218
4,9,0.5036
4,10,0.2375
4,12,0.6374
4,26,0.1489
4,27,0.4024
4,31,0.4401
5,10,0.7446
5,12,0.11
5,31,0.106
6,9,0.5739
6,27,0.1321
6,31,0.2907
7,28,0.2254
8,6,0.3489
9,3,0.3223
10,14,0.2094
10,24,0.7189
11,24,0.1949
11,27,0.1146
13,14,0.2738
15,0,0.241
16,24,0.1092
18,12,0.7766
19,0,0.2083
20,1,0.1336
20,13,0.1773
21,3,0.191
21,7,0.3132
21,13,0.1582
22,16,0.1236
22,19,0.1078
23,0,0.1097
25,20,0.1818
27,0,0.2183
27,11,0.501
27,18,0.2781
28,17,0.1451
28,20,0.6513
28,25,0.2816
29,8,0.1342
29,14,0.1341
29,15,0.2668
30,5,0.1584
30,29,0.7327
30,31,0.2159
