layer,head,reader_to_screen
0,2,0.109
0,3,0.1938
0,5,0.2181
0,9,0.2653
0,11,0.3815
0,12,0.4634
0,15,0.331
0,17,0.1107
0,19,0.1181
0,21,0.2219
0,24,0.1293
0,27,0.2841
0,30,0.4118
1,0,0.1346
1,1,0.1391
1,3,0.1357
1,6,0.8562
1,8,0.3829
1,10,0.3252
1,12,0.4024
1,14,0.2479
1,16,0.1025
1,18,0.6316
1,19,0.1371
1,20,0.6812
1,22,0.2649
1,24,0.1779
1,25,0.9588
1,27,0.1918
1,28,0.2943
1,29,0.185
1,30,0.1445
2,3,0.1012
2,5,0.469
2,6,0.1798
2,7,0.2598
2,8,0.6734
2,10,0.5929
2,13,0.1215
2,16,0.4885
2,18,0.3474
2,22,0.6014
2,25,0.2079
2,28,0.5093
2,29,0.1096
2,31,0.2386
3,2,0.703
3,3,0.2778
3,5,0.4644
3,7,0.8826
3,10,0.4371
3,14,0.9816
3,20,0.1425
3,21,0.573
3,22,0.1793
3,23,0.9759
3,26,0.3575
3,27,0.1288
3,29,0.8412
3,31,0.1564
4,1,0.1331
4,9,0.8521
4,12,0.3595
4,24,0.3639
4,25,0.1249
4,28,0.129
4,31,0.1265
5,4,0.1405
5,8,0.7399
5,9,0.4705
5,10,0.7143
6,9,0.7443
6,15,0.2777
6,17,0.2802
6,23,0.1371
6,27,0.1224
6,31,0.1654
7,5,0.1361
7,18,0.1427
8,6,0.3667
8,19,0.1323
8,20,0.1178
8,28,0.11
9,3,0.5483
9,26,0.1459
9,28,0.2719
10,7,0.2724
10,14,0.5598
10,17,0.1292
10,21,0.1424
10,24,0.6068
10,26,0.2818
10,29,0.2018
11,19,0.5657
11,24,0.2367
11,27,0.1939
11,29,0.3598
12,8,0.1468
12,12,0.1457
12,16,0.1987
12,17,0.1054
12,20,0.1061
12,23,0.2252
12,28,0.2902
13,2,0.254
13,28,0.1186
13,29,0.1492
13,30,0.1489
14,3,0.1417
14,10,0.2288
14,14,0.279
14,21,0.1756
15,5,0.1578
15,6,0.1749
15,9,0.1434
16,5,0.214
16,13,0.1992
16,21,0.1521
16,22,0.1031
16,30,0.2192
17,4,0.2628
17,8,0.1556
17,12,0.1589
18,1,0.1236
18,12,0.9714
18,16,0.183
18,26,0.121
19,0,0.2642
19,12,0.1873
20,0,0.1486
20,11,0.1039
20,12,0.1107
20,13,0.1708
21,3,0.7199
21,7,0.4565
21,13,0.1461
22,12,0.1645
22,14,0.1391
22,19,0.6337
24,21,0.141
25,7,0.1585
25,27,0.3626
26,3,0.1271
26,13,0.5839
26,25,0.1057
27,0,0.5348
27,2,0.2684
27,18,0.7225
27,30,0.8347
28,2,0.846
28,17,0.1594
28,20,0.8816
28,25,0.2653
29,7,0.9707
29,11,0.1371
29,15,0.3453
30,29,0.3493
30,30,0.1331
