layer,head,reader_to_screen
0,0,0.1302
0,3,0.1206
0,5,0.2531
0,9,0.2674
0,11,0.566
0,12,0.4894
0,15,0.2322
0,16,0.1887
0,20,0.1175
0,21,0.5794
0,24,0.1654
0,25,0.1352
0,27,0.1386
0,30,0.1933
0,31,0.151
1,2,0.1326
1,3,0.6486
1,6,0.8131
1,8,0.5396
1,10,0.6004
1,14,0.1782
1,16,0.3302
1,17,0.1121
1,18,0.7461
1,19,0.49
1,20,0.627
1,24,0.1035
1,25,0.3998
1,27,0.1839
1,29,0.2215
1,30,0.1169
2,6,0.278
2,7,0.1889
2,8,0.8867
2,9,0.3149
2,10,0.4435
2,11,0.1713
2,13,0.4273
2,16,0.1159
2,18,0.1227
2,20,0.1304
2,21,0.1682
2,22,0.3226
2,26,0.3445
2,28,0.3263
2,29,0.2588
3,2,0.5727
3,3,0.8251
3,4,0.1396
3,5,0.1204
3,7,0.8833
3,10,0.5552
3,11,0.1494
3,14,0.8841
3,19,0.1009
3,20,0.1867
3,21,0.9133
3,22,0.3738
3,23,0.9557
3,26,0.2287
3,27,0.1271
3,29,0.898
4,1,0.3053
4,3,0.2068
4,8,0.854
4,9,0.4368
4,12,0.7338
4,15,0.1595
4,21,0.1179
4,23,0.1121
4,25,0.4126
4,31,0.3411
5,4,0.2929
5,5,0.1254
5,8,0.5257
5,9,0.1344
5,10,0.7659
5,12,0.2239
5,31,0.138
6,9,0.7637
6,23,0.203
6,26,0.313
6,31,0.1952
7,0,0.143
7,29,0.1741
8,6,0.3832
8,19,0.6182
8,25,0.1421
8,31,0.1702
9,3,0.3939
9,5,0.1062
10,8,0.3853
10,11,0.3461
10,12,0.4129
10,14,0.1919
10,17,0.6041
10,21,0.1664
10,24,0.4896
10,25,0.1162
11,3,0.119
11,5,0.5828
11,15,0.3987
11,19,0.1945
11,24,0.1596
11,27,0.2765
11,28,0.3489
11,29,0.7499
11,31,0.1378
12,8,0.1659
12,15,0.1513
12,16,0.6136
12,17,0.2692
12,19,0.2038
12,20,0.1957
12,22,0.1328
12,23,0.6958
12,30,0.3156
12,31,0.178
13,2,0.1309
13,7,0.1864
13,14,0.3828
13,15,0.1153
13,19,0.3368
13,21,0.1429
13,23,0.1364
13,28,0.189
13,29,0.1305
13,30,0.1089
14,3,0.1181
14,9,0.1142
14,10,0.6452
14,14,0.3615
14,20,0.4297
15,6,0.4758
15,9,0.4323
15,18,0.1399
15,19,0.285
15,30,0.7154
16,3,0.2191
16,5,0.305
16,21,0.1335
16,24,0.1477
16,25,0.1067
16,30,0.4768
17,4,0.3612
17,5,0.119
17,8,0.233
17,20,0.3143
17,26,0.1088
17,29,0.1444
18,1,0.2621
18,2,0.4727
18,12,0.7961
18,22,0.1013
18,26,0.1367
18,27,0.7145
18,29,0.4561
19,0,0.7545
19,4,0.5966
19,7,0.1834
19,14,0.3596
19,26,0.2377
19,27,0.1412
19,28,0.1284
20,13,0.4457
20,20,0.3739
20,29,0.1743
21,0,0.2785
21,9,0.1914
21,13,0.2716
21,14,0.1808
22,3,0.137
22,10,0.2249
22,19,0.7695
22,31,0.9041
23,13,0.4606
24,3,0.3593
24,12,0.2162
24,13,0.3131
25,0,0.5727
25,25,0.1287
25,27,0.6286
26,2,0.1102
26,5,0.5809
26,11,0.4277
26,13,0.6004
26,27,0.1332
27,0,0.8307
27,2,0.4885
27,8,0.3246
27,16,0.4289
27,17,0.1003
27,18,0.3653
27,23,0.2153
27,26,0.598
27,30,0.7017
28,2,0.7811
28,17,0.2671
28,20,0.7974
28,22,0.314
29,7,0.9856
29,9,0.1526
29,11,0.5396
29,15,0.4109
29,20,0.2827
30,2,0.109
30,17,0.3958
30,29,0.7877
30,30,0.3827
31,7,0.7876
31,21,0.2238
