layer,head,reader_to_screen
0,0,0.6281
0,2,0.4078
0,4,0.1626
0,6,0.1563
0,8,0.2708
0,9,0.1151
1,0,0.2829
1,1,0.7337
1,2,0.6271
1,3,0.2965
1,5,0.248
1,7,0.445
1,11,0.1438
2,1,0.1418
2,2,0.3505
2,3,0.446
2,4,0.1474
2,5,0.2274
2,6,0.2693
2,7,0.1002
2,8,0.5459
2,9,0.4644
2,11,0.6195
3,0,0.9243
3,2,0.9156
3,4,0.2978
3,7,0.2039
3,9,0.263
3,10,0.311
4,2,0.1311
4,9,0.4336
5,1,0.212
5,8,0.2141
5,11,0.227
6,2,0.3429
6,3,0.1175
6,4,0.1112
6,5,0.1488
7,7,0.6743
7,8,0.1619
8,10,0.1575
9,3,0.1883
10,9,0.1127
11,0,0.4323
11,6,0.9712
11,8,1.0
