layer,top_prediction,target_rank,target_prob
0," """,1229,0.00014336266031023115
1," """,1262,0.00013081640645395964
2," """,1687,8.460123353870586e-05
3," """,1569,8.790766150923446e-05
4, particular,1114,0.00011998729314655066
5, particular,834,0.0001477601908845827
6, particular,1240,7.595477654831484e-05
7, particular,863,0.00010143771214643493
8, certain,689,0.00011710285616572946
9, certain,489,0.0001562873221701011
10, piece,386,0.00016585357661824673
11, certain,298,0.00019747494661714882
12, certain,153,0.0003369940386619419
13, particular,110,0.0005027171573601663
14, specific,72,0.000861743523273617
15, specific,34,0.003647800534963608
16, individual,28,0.005144798196852207
17, individual,23,0.0052271452732384205
18, individual,10,0.0198798980563879
19, event,7,0.05025843158364296
20, event,5,0.06728283315896988
21, article,4,0.050319429486989975
22, event,3,0.049087781459093094
23, event,3,0.051102012395858765
