layer,top_prediction,target_rank,target_prob
0, un,1440,0.00012032610538881272
1," """,1444,0.00010842065239557996
2," """,1895,7.356487913057208e-05
3, particular,2086,5.992657315800898e-05
4, particular,2623,3.45092048519291e-05
5, particular,1709,4.8926227464107797e-05
6, particular,1988,3.625375029514544e-05
7, particular,1992,2.6056373826577328e-05
8, particular,879,7.543199899373576e-05
9, particular,793,4.748300489154644e-05
10, particular,314,0.00012345901632215828
11, particular,186,0.00015658607298973948
12, particular,102,0.0004082205123268068
13, particular,46,0.000812905898783356
14, individual,35,0.0008542711730115116
15, individual,23,0.001549893757328391
16, object,18,0.000796594365965575
17, object,14,0.0009969713864848018
18, element,13,0.0005207458743825555
19, element,10,0.0008635179256089032
20, element,10,0.0010474307928234339
21, element,9,0.0021799467504024506
22, element,10,0.005309168715029955
23, element,9,0.007279680576175451
