layer,top_prediction,target_rank,target_prob
0, not,5095,2.111378671543207e-05
1, not,6489,8.913456440495793e-06
2, not,4614,1.3547913113143295e-05
3, not,4751,1.019400679069804e-05
4, not,7902,3.984499926446006e-06
5, not,7931,2.7070605028711725e-06
6, not,12006,9.210642133439251e-07
7, currently,5545,3.6012115742778406e-06
8, currently,1203,2.5157101845252328e-05
9, typically,741,2.6871592126553878e-05
10, not,580,3.0214499929570593e-05
11, not,450,2.2158343199407682e-05
12, usually,243,3.3552856621099636e-05
13, usually,148,9.2555426817853e-05
14, not,68,0.0003859369026031345
15, usually,78,0.00024146991199813783
16, a,64,0.00020095986837986857
17, a,32,0.000202274983166717
18, a,25,0.00024188235693145543
19, a,23,0.00046317014493979514
20, a,15,0.0004763880860991776
21, a,15,0.0005599961150437593
22, a,19,0.0026537885423749685
23, a,10,0.007221364416182041
