layer,top_prediction,target_rank,target_prob
0, screen,1530,4.0686230931896716e-05
1, screen,1581,4.3286643631290644e-05
2, screen,1105,8.64235480548814e-05
3, screen,801,0.00010769670188892633
4, screen,683,0.00014181670849211514
5, screen,280,0.00040344076114706695
6, screen,133,0.0008231952087953687
7,-,250,0.00040533652645535767
8,-,134,0.0007486992399208248
9, screen,111,0.0011408999562263489
10,-,151,0.0005918719107285142
11, screen,67,0.0014209671644493937
12, screen,43,0.003946512006223202
13,-,39,0.005310577806085348
14, screen,22,0.012433737516403198
15, screen,25,0.010361067950725555
16, screen,44,0.005360364448279142
17, to,54,0.0027136753778904676
18, in,68,0.0016311354702338576
19, door,56,0.0023913360200822353
20, to,16,0.012733349576592445
21, to,13,0.0168320219963789
22, to,3,0.049274053424596786
23, to,2,0.13447481393814087
