layer,head,reader_to_screen
0,1,0.109
0,3,0.3455
0,5,0.2666
0,6,0.4177
0,7,0.152
0,9,0.2361
0,11,0.1377
0,14,0.1255
0,16,0.1655
0,18,0.2597
0,19,0.2177
0,20,0.2812
0,25,0.1916
0,26,0.3343
0,27,0.221
0,29,0.1319
0,30,0.5209
0,31,0.5048
0,32,0.2087
0,33,0.1006
0,35,0.169
0,36,0.3915
0,38,0.2093
0,39,0.3377
1,0,0.1975
1,2,0.1703
1,8,0.1714
1,9,0.1334
1,12,0.1886
1,13,0.1645
1,14,0.8216
1,15,0.9905
1,16,0.1976
1,20,0.1541
1,21,0.3428
1,22,0.2077
1,23,0.1494
1,24,0.842
1,26,0.9678
1,28,0.1186
1,31,0.1173
1,33,0.1816
1,34,0.2882
1,35,0.5383
1,36,0.1318
1,37,0.5621
1,38,0.878
2,0,0.5911
2,4,0.7353
2,7,0.9078
2,11,0.1094
2,12,0.7224
2,13,0.2781
2,14,0.7805
2,16,0.5958
2,18,0.6787
2,19,0.8211
2,20,0.2148
2,22,0.9674
2,32,0.9484
2,34,0.3076
2,38,0.1907
3,0,0.1768
3,2,0.5175
3,3,0.2734
3,4,0.1032
3,7,0.9082
3,8,0.7743
3,15,0.1562
3,20,0.1333
3,21,0.7963
3,30,0.909
3,32,0.4181
3,38,0.1286
4,27,0.1978
4,37,0.1617
5,5,0.1701
5,28,0.5679
6,6,0.4799
7,31,0.5415
8,13,0.1478
8,31,0.1001
8,32,0.2539
9,25,0.1847
9,34,0.547
9,35,0.4041
10,1,0.2112
11,13,0.8227
11,20,0.1674
12,15,0.1166
12,32,0.1937
14,7,0.5557
15,8,0.4506
16,1,0.1153
16,32,0.1125
16,37,0.1855
18,24,0.21
18,35,0.3419
19,11,0.354
19,15,0.7412
19,23,0.1073
19,28,0.1381
19,33,0.1063
21,9,0.1037
25,2,0.1165
25,28,0.2473
26,9,0.1339
29,34,0.1373
30,0,0.5624
32,1,0.1134
32,35,0.4797
33,0,0.813
33,13,0.1205
33,16,0.8384
33,19,0.1637
33,27,0.1441
33,32,0.5668
33,33,0.707
33,35,0.6047
34,2,0.2799
34,12,0.541
35,2,0.339
