layer,top_prediction,target_rank,target_prob
0,",&",38334,1.0164728792005917e-07
1,osin,29783,3.7710054812123417e-07
2,mong,19831,1.3855301403964404e-06
3,PI,20736,1.4690823491037008e-06
4, either,15985,2.6640407213562867e-06
5, either,25905,5.287137696541322e-07
6, an,12357,3.907639438693877e-06
7, also,25318,5.040926112087618e-07
8, not,9497,5.676388354913797e-06
9, only,9787,6.340396339510335e-06
10, essentially,1747,6.0129423218313605e-05
11, an,1689,5.064540891908109e-05
12, an,1168,6.729246524628252e-05
13, an,1009,3.0509168936987408e-05
14, generally,383,7.310451474040747e-05
15, an,136,8.94085897016339e-05
16, a,120,1.1201646884728689e-05
17, a,61,3.576483504730277e-05
18, a,113,8.3859522419516e-06
19, a,57,3.3525800972711295e-05
20, a,34,0.00013412119005806744
21, a,39,0.00021861529967281967
22, a,11,0.003445373149588704
23, a,4,0.032684773206710815
