layer,top_prediction,target_rank,target_prob
0,ks,47334,7.0857648637456805e-09
1,ks,45265,1.2784999725568014e-08
2,pard,46814,9.178985571622889e-09
3,  ,24376,5.429619704955257e-07
4,/*!,16607,2.235330839539529e-06
5,�,3775,2.3073143893270753e-05
6,both,19099,1.4425683048102655e-06
7,switch,21444,1.3602373201138107e-06
8,our,39111,1.280010479831617e-07
9,onson,27918,7.629080869264726e-07
10,all,25144,9.296950338466559e-07
11,oded,40249,1.3099169393626653e-07
12, abbrev,42837,9.601744466181117e-08
13, abbrev,4225,2.63893416558858e-05
14, abbrev,2717,5.10562167619355e-05
15," """,155,0.0007611713954247534
16," """,3,0.023883137851953506
17, W,13,0.0001284470927203074
18, W,6,0.0003778917307499796
19, W,8,0.0029041285160928965
20, W,6,0.014864162541925907
21, W,3,0.0572388730943203
22, W,3,0.0848328247666359
23, Web,1,0.16831621527671814
