layer,attn_logit,mlp_logit,dominant
0,-0.6151586771011353,0.779219925403595,MLP
1,0.13882216811180115,0.4823799133300781,MLP
2,0.22852137684822083,0.11275258660316467,ATTN
3,-0.08162890374660492,0.18610134720802307,MLP
4,-0.10261519253253937,0.18729746341705322,MLP
5,-0.2319440394639969,0.5848639607429504,MLP
6,-0.09930850565433502,0.4202495217323303,MLP
7,0.5584367513656616,0.06808300316333771,ATTN
8,-0.2619602382183075,0.8797570466995239,MLP
9,-0.5336793065071106,0.7960643768310547,MLP
10,1.0380219221115112,0.09001639485359192,ATTN
11,-0.03347314894199371,0.11503086239099503,MLP
12,0.30953240394592285,-0.007581919431686401,ATTN
13,0.3568650782108307,0.5366231203079224,MLP
14,-0.2328435629606247,0.031954556703567505,ATTN
15,-0.3392093777656555,-0.0012643635272979736,ATTN
16,0.11100733280181885,0.95736163854599,MLP
17,0.2938724160194397,1.0102707147598267,MLP
18,0.2243262529373169,1.1601793766021729,MLP
19,-0.019688785076141357,2.3469045162200928,MLP
20,0.003956824541091919,1.6481232643127441,MLP
21,1.434660792350769,0.034772202372550964,ATTN
22,0.027302652597427368,1.1071710586547852,MLP
23,1.1448650360107422,-0.15006431937217712,ATTN
