layer,top_prediction,target_rank,target_prob
0,ways,9636,2.448863597237505e-06
1,ways,16044,1.7508549490230507e-06
2,manuel,12794,3.1127351576287765e-06
3,)\[,11891,4.132886715524364e-06
4,CMC,12645,4.171920409135055e-06
5,⋯,6304,1.2691014489973895e-05
6,inters,8297,8.282750968646724e-06
7, uniformly,1857,7.241198909468949e-05
8,ometry,270,0.0004644659347832203
9,ORN,146,0.0008941186242736876
10, object,174,0.000699417432770133
11,orn,260,0.0005204436602070928
12, entire,568,0.00018523665494285524
13, entire,433,0.000285532878478989
14, entire,29,0.0032772645354270935
15, entire,59,0.0017779669724404812
16, entire,14,0.0064211576245725155
17, entire,17,0.006707437802106142
18, entire,30,0.0038984089624136686
19, entire,7,0.021844586357474327
20, entire,8,0.027367446571588516
21, entire,5,0.03323128819465637
22, entire,7,0.027725139632821083
23, alt,3,0.043752025812864304
