layer,top_prediction,target_rank,target_prob
0,nt,2289,6.93295369273983e-05
1,nt,5798,2.9450513466144912e-05
2, not,5395,3.1227795261656865e-05
3,nt,4929,3.115347135462798e-05
4, typically,8364,1.6293837688863277e-05
5, often,13083,8.763603545958176e-06
6, often,2980,2.7571482860366814e-05
7, often,4978,1.5851868738536723e-05
8, typically,697,7.550186273874715e-05
9, typically,161,0.0001234256342286244
10, a,113,0.00011317323514958844
11, a,53,0.00015794267528690398
12, a,20,0.0002257019077660516
13, a,9,0.0012216562172397971
14, a,4,0.003709113458171487
15, a,3,0.08285043388605118
