layer,attn_logit,mlp_logit,dominant
0,-0.11230342090129852,0.7461950778961182,MLP
1,-0.21787238121032715,0.31714341044425964,MLP
2,0.04001426696777344,0.8376002311706543,MLP
3,0.13970699906349182,-0.8506408929824829,MLP
4,0.6370996236801147,0.5468745827674866,ATTN
5,0.6439487338066101,-0.10119020938873291,ATTN
6,0.3537445366382599,-1.0679210424423218,MLP
7,0.49154895544052124,-1.3468024730682373,MLP
8,1.3992881774902344,0.32362204790115356,ATTN
9,3.561469078063965,1.8750205039978027,ATTN
10,-0.7614377737045288,1.019242286682129,MLP
11,3.2503623962402344,2.6379499435424805,ATTN
12,3.085319995880127,3.8399746417999268,MLP
13,2.0912768840789795,3.7767446041107178,MLP
14,6.4882707595825195,11.231651306152344,MLP
15,0.5756025314331055,8.97540283203125,MLP
