layer,head,logit,abs_logit
0,0,0.5700395107269287,0.5700395107269287
0,1,-0.03388754278421402,0.03388754278421402
0,2,0.19703270494937897,0.19703270494937897
0,3,-0.1772608906030655,0.1772608906030655
0,4,0.20177814364433289,0.20177814364433289
0,5,-0.10904146730899811,0.10904146730899811
0,6,-0.3349822461605072,0.3349822461605072
0,7,0.22178500890731812,0.22178500890731812
1,0,0.2630898058414459,0.2630898058414459
1,1,0.02803836762905121,0.02803836762905121
1,2,-0.09187482297420502,0.09187482297420502
1,3,-0.05163837969303131,0.05163837969303131
1,4,0.28222864866256714,0.28222864866256714
1,5,-0.29498517513275146,0.29498517513275146
1,6,0.06669998168945312,0.06669998168945312
1,7,0.18231141567230225,0.18231141567230225
2,0,0.18058191239833832,0.18058191239833832
2,1,0.02117779478430748,0.02117779478430748
2,2,0.06814280152320862,0.06814280152320862
2,3,-0.05682407319545746,0.05682407319545746
2,4,0.018794789910316467,0.018794789910316467
2,5,-0.0010654740035533905,0.0010654740035533905
2,6,-0.05959398299455643,0.05959398299455643
2,7,-0.04966511204838753,0.04966511204838753
3,0,-0.03895013406872749,0.03895013406872749
3,1,-0.22782762348651886,0.22782762348651886
3,2,-0.4416356086730957,0.4416356086730957
3,3,-0.11807193607091904,0.11807193607091904
3,4,0.13497410714626312,0.13497410714626312
3,5,-0.04698827862739563,0.04698827862739563
3,6,0.0743015706539154,0.0743015706539154
3,7,0.1609591841697693,0.1609591841697693
4,0,0.3348351716995239,0.3348351716995239
4,1,0.004771139472723007,0.004771139472723007
4,2,-0.10473055392503738,0.10473055392503738
4,3,-0.1517127901315689,0.1517127901315689
4,4,0.09078869223594666,0.09078869223594666
4,5,0.11391887813806534,0.11391887813806534
4,6,-0.04379132390022278,0.04379132390022278
4,7,0.0800931304693222,0.0800931304693222
5,0,-0.09616398811340332,0.09616398811340332
5,1,0.22542352974414825,0.22542352974414825
5,2,0.1528196632862091,0.1528196632862091
5,3,0.38286492228507996,0.38286492228507996
5,4,-0.3546428680419922,0.3546428680419922
5,5,0.04818088561296463,0.04818088561296463
5,6,0.09619483351707458,0.09619483351707458
5,7,0.24450042843818665,0.24450042843818665
6,0,0.14878422021865845,0.14878422021865845
6,1,0.06991828978061676,0.06991828978061676
6,2,-0.1622399389743805,0.1622399389743805
6,3,0.43706363439559937,0.43706363439559937
6,4,0.08605990558862686,0.08605990558862686
6,5,0.05197664722800255,0.05197664722800255
6,6,-0.025483032688498497,0.025483032688498497
