layer,attn_logit,mlp_logit,dominant
0,-0.8063302636146545,2.5399680137634277,MLP
1,0.4979552626609802,0.45495063066482544,ATTN
2,-0.3496359884738922,-0.10449182987213135,ATTN
3,-0.291520357131958,2.1260883808135986,MLP
4,-0.09852935373783112,-0.18368908762931824,MLP
5,0.13135042786598206,0.5467846989631653,MLP
6,0.1311892569065094,-0.7643234729766846,MLP
7,-1.0049841403961182,1.000833511352539,ATTN
8,0.14573319256305695,2.2209901809692383,MLP
9,2.355109214782715,0.25795578956604004,ATTN
10,-0.058350637555122375,1.4530819654464722,MLP
11,1.2228566408157349,3.3742990493774414,MLP
12,0.4380783140659332,3.3212528228759766,MLP
13,3.036935329437256,4.4959025382995605,MLP
14,2.6786787509918213,0.4420912265777588,ATTN
15,2.168531894683838,3.528125047683716,MLP
