layer,top_prediction,target_rank,target_prob
0, Protocol,5865,2.5455106879235245e-05
1, Protocol,10881,1.2249274732312188e-05
2, Protocol,8040,1.5519604858127423e-05
3, Protocol,7551,1.3557532838603947e-05
4, Explorer,6119,1.8257425836054608e-05
5,components,3246,4.4978325604461133e-05
6,chitz,3062,4.5690274419030175e-05
7,chitz,3098,4.191777770756744e-05
8,chitz,2176,5.623555261990987e-05
9,ivity,637,0.00016305118333548307
10,ivity,229,0.0004265813622623682
11,atic,27,0.00324995000846684
12, (,84,0.001451642601750791
13, (,149,0.0002051197225227952
14, Applications,1,0.14616744220256805
15, Applications,1,0.6199121475219727
