layer,attn_logit,mlp_logit,dominant
0,4.418469429016113,2.6478939056396484,ATTN
1,1.3173292875289917,-1.1646604537963867,ATTN
2,0.4031999111175537,0.41731470823287964,MLP
3,0.8678675889968872,2.8025617599487305,MLP
4,1.5041120052337646,0.05220586061477661,ATTN
5,0.08387863636016846,-2.486268997192383,MLP
6,1.8537698984146118,3.6267919540405273,MLP
7,3.4504756927490234,1.1690921783447266,ATTN
8,24.95952606201172,19.325206756591797,ATTN
9,24.537647247314453,21.886981964111328,ATTN
10,3.0681586265563965,17.319705963134766,MLP
11,18.294809341430664,20.06481170654297,MLP
