layer,attn_logit,mlp_logit,dominant
0,8.576943397521973,6.552726745605469,ATTN
1,1.8081536293029785,0.6054807901382446,ATTN
2,2.797197103500366,-0.16216492652893066,ATTN
3,1.403835415840149,1.9618523120880127,MLP
4,4.189550876617432,3.8824453353881836,ATTN
5,2.323056936264038,0.6567877531051636,ATTN
6,2.6883320808410645,5.040667533874512,MLP
7,0.7963106632232666,7.967072010040283,MLP
8,4.543465614318848,16.571163177490234,MLP
9,6.80858850479126,21.421865463256836,MLP
10,11.03192138671875,26.58314323425293,MLP
11,7.0675859451293945,28.12222671508789,MLP
