layer,attn_logit,mlp_logit,dominant
0,7.716416358947754,17.65243911743164,MLP
1,0.35833483934402466,6.413139820098877,MLP
2,-1.3165286779403687,3.821244478225708,MLP
3,0.9567524194717407,-1.3012337684631348,MLP
4,0.5311717987060547,2.9654276371002197,MLP
5,1.2234632968902588,1.933334231376648,MLP
6,1.8860106468200684,6.881453037261963,MLP
7,3.124006748199463,5.140520095825195,MLP
8,4.483039855957031,10.406991004943848,MLP
9,14.282083511352539,6.450815200805664,ATTN
10,8.02916431427002,9.424995422363281,MLP
11,6.634614944458008,18.661846160888672,MLP
