layer,head,reader_to_screen
0,0,0.1518
0,1,0.188
0,2,0.1412
0,5,0.2176
0,6,0.1873
0,9,0.1183
0,10,0.1939
0,11,0.2457
0,12,0.2065
0,13,0.3078
0,14,0.1307
0,15,0.2204
0,17,0.4435
0,18,0.4238
0,19,0.1473
0,21,0.1635
0,22,0.2334
0,23,0.1347
1,0,0.1022
1,3,0.2781
1,9,0.1881
1,10,0.2718
1,11,0.1151
1,12,0.1146
1,16,0.1297
1,17,0.1321
1,19,0.1573
1,20,0.1062
1,21,0.3409
1,23,0.1408
2,0,0.1362
2,1,0.1742
2,2,0.1845
2,3,0.1302
2,6,0.3131
2,7,0.2568
2,9,0.1278
2,11,0.4258
2,12,0.3409
2,13,0.1227
2,16,0.1795
2,18,0.1561
2,19,0.7473
2,20,0.1206
2,21,0.212
2,22,0.1699
3,1,0.2045
3,3,0.1272
3,4,0.1097
3,5,0.5724
3,6,0.4442
3,8,0.1503
3,12,0.1633
3,15,0.4771
3,18,0.6218
3,19,0.176
3,20,0.2755
3,21,0.2817
3,22,0.1633
4,0,0.1817
4,7,0.1244
4,10,0.5848
4,11,0.2495
4,13,0.6256
4,15,0.6195
4,19,0.3296
4,21,0.9066
4,23,0.3617
5,2,0.1509
5,3,0.137
5,4,0.1395
5,5,0.1896
5,9,0.456
5,11,0.1615
5,12,0.538
5,14,0.3146
5,18,0.6389
5,20,0.1166
5,22,0.765
6,0,0.1789
6,1,0.6636
6,4,0.2905
6,6,0.1468
6,7,0.1662
6,14,0.2545
6,15,0.2139
6,16,0.7716
6,18,0.1283
6,19,0.2005
6,20,0.4912
6,21,0.3643
6,22,0.6959
6,23,0.109
7,0,0.7987
7,11,0.7634
7,12,0.5389
7,13,0.2483
7,14,0.3879
7,15,0.2749
7,17,0.3117
7,19,0.801
7,22,0.1152
7,24,0.1096
8,4,0.6484
8,6,0.4831
8,10,0.4525
8,15,0.7142
9,2,0.1118
9,6,0.2139
9,7,0.9702
9,10,0.5427
9,11,0.43
9,13,0.6193
10,10,0.7812
10,13,0.1079
10,15,0.321
10,17,0.153
10,24,0.5103
11,0,0.6635
11,1,0.2794
11,2,0.9718
11,6,0.1654
11,20,0.2841
11,22,0.2011
12,1,0.1499
12,3,0.3275
12,9,0.1044
12,10,0.5447
12,17,0.3832
12,18,0.223
12,21,0.9999
12,24,0.2717
13,4,0.1238
13,9,0.3114
13,11,0.1106
13,12,0.1142
13,15,0.3815
13,20,0.9969
13,21,0.2657
14,5,0.3807
14,9,0.2073
14,10,0.5773
14,12,0.988
14,16,0.1287
14,19,0.8778
14,20,0.387
15,1,0.9035
15,7,0.5348
15,8,0.1922
15,15,0.218
15,19,0.9997
16,0,0.3872
16,4,0.1173
16,5,0.9045
16,18,0.1293
16,20,0.1167
17,4,0.494
17,9,0.1701
17,11,0.1753
17,12,0.5963
17,18,0.5296
17,24,0.4418
18,1,0.6701
18,6,0.1013
18,12,0.102
18,17,0.428
18,20,0.3602
19,2,0.5904
19,15,0.3141
19,19,0.1728
20,21,0.5654
21,0,0.1937
21,7,0.1238
21,12,0.3826
22,12,0.2923
22,18,0.2123
22,19,0.1387
22,22,0.2541
23,12,0.1273
23,24,0.1858
24,10,0.3639
24,23,0.7695
25,0,0.1292
25,7,0.1504
25,15,0.1397
25,17,0.7422
25,21,0.4276
25,23,0.1368
26,6,0.7295
26,9,0.1949
26,14,0.1072
26,17,0.2767
26,23,0.113
27,0,0.1326
27,13,0.8731
27,19,0.1656
28,3,0.4083
28,13,0.1089
28,18,0.8992
28,21,0.1632
28,24,0.1345
29,20,0.2946
29,23,0.2238
30,7,0.7936
31,5,0.3227
31,16,0.3315
32,6,0.1462
32,12,0.1373
32,24,0.1205
34,7,0.1223
34,15,0.1063
34,22,0.4636
36,0,0.1411
36,11,0.2796
37,0,0.2063
37,5,0.1251
37,21,0.3111
37,24,0.1057
38,4,0.3355
38,14,0.1031
38,17,0.207
39,2,0.1473
39,18,0.1303
40,6,0.4963
40,22,0.5846
41,12,0.2222
42,15,0.1651
42,19,0.2209
42,20,0.1083
43,4,0.1539
43,7,0.3121
43,8,0.6205
43,9,0.2393
44,2,0.3028
44,4,0.1217
44,6,0.1313
44,10,0.2046
44,13,0.4445
44,19,0.1254
44,23,0.1532
45,7,0.174
45,8,0.1237
45,12,0.103
45,17,0.1183
45,18,0.3324
46,5,0.4839
46,11,0.4865
46,13,0.4609
47,4,0.2365
47,12,0.3005
47,16,0.1214
47,19,0.1277
47,22,0.2784
