layer,head,reader_to_screen
0,4,0.1334
0,6,0.1562
0,7,0.2248
0,8,0.3906
0,11,0.1566
1,0,0.4254
1,3,0.1452
1,4,0.1193
1,7,0.1109
1,10,0.359
2,0,0.5228
2,2,0.5074
2,4,0.2726
2,5,0.1551
2,7,0.1869
2,8,0.3229
2,9,0.7532
2,10,0.2008
3,3,0.6095
3,6,0.5907
3,7,0.4178
3,8,0.1075
3,11,0.4943
4,3,0.1478
4,5,0.46
4,7,0.2213
4,11,1.0
5,2,0.1389
5,6,0.3034
5,11,0.1463
6,0,0.1595
6,7,0.2163
6,8,0.2596
7,0,0.3421
9,3,0.1069
10,5,0.1547
10,9,0.2912
11,0,0.1724
11,3,0.172
11,8,0.4441
11,10,0.1385
