layer,head,reader_to_screen
0,0,0.2054
0,2,0.5515
0,4,0.1028
0,5,0.1781
0,12,0.1094
0,14,0.2626
0,16,0.3038
0,17,0.3329
0,18,0.1211
0,20,0.1377
0,21,0.8182
0,22,0.2473
0,23,0.1406
0,25,0.1808
0,27,0.426
0,31,0.139
1,4,0.5717
1,5,0.2056
1,6,0.8808
1,8,0.2354
1,10,0.4503
1,11,0.8587
1,12,0.9844
1,14,0.8532
1,15,0.4037
1,16,0.9598
1,17,0.4894
1,20,0.1566
1,21,0.8146
1,22,0.4822
1,23,0.6607
1,24,0.4209
1,25,0.9899
1,27,0.1696
1,29,0.2554
1,30,0.7353
1,31,0.4976
2,0,0.1462
2,2,0.4322
2,5,0.1375
2,7,0.1028
2,10,0.2057
2,11,0.1634
2,17,0.1362
2,21,0.1219
2,24,0.1077
3,1,0.9875
3,2,0.1029
3,14,0.679
3,16,0.6263
3,20,0.9275
3,23,0.5636
3,24,0.945
3,26,0.5898
3,31,0.839
4,0,0.1008
4,6,0.1394
4,7,0.5774
4,8,0.1663
4,9,0.2436
4,10,0.151
4,16,0.8742
4,20,0.296
4,22,0.3537
4,25,0.309
5,6,0.2071
5,11,0.1279
5,12,0.6585
5,13,0.3995
5,23,0.1977
5,26,0.5295
5,29,0.751
6,3,0.195
6,6,0.2279
6,13,0.4314
7,14,0.3781
7,15,0.1069
7,21,0.2156
8,3,0.1295
8,5,0.1419
8,9,0.1931
8,10,0.2286
8,12,0.1427
8,13,0.4524
8,19,0.2802
8,20,0.1839
8,22,0.4439
9,1,0.222
9,4,0.1046
9,9,0.4029
9,12,0.1052
9,16,0.1328
9,18,0.2425
9,19,0.1475
9,21,0.1475
9,25,0.1869
9,27,0.2981
10,1,0.4915
10,6,0.153
10,7,0.1379
10,14,0.1712
10,19,0.4605
10,21,0.3199
10,22,0.2335
10,26,0.3722
10,27,0.7194
10,29,0.1016
10,31,0.1146
11,1,0.1433
11,2,0.105
11,5,0.1843
11,10,0.2441
11,16,0.1154
11,27,0.144
12,6,0.1394
12,10,0.1167
12,14,0.2425
12,17,0.1599
12,21,0.203
12,31,0.656
13,25,0.1442
14,5,0.2387
14,8,0.1776
14,9,0.1662
14,11,0.115
14,12,0.2027
14,18,0.1607
14,19,0.1267
14,22,0.1016
14,24,0.142
14,29,0.1377
15,5,0.2183
15,7,0.1408
15,16,0.2694
15,19,0.2338
15,22,0.184
16,7,0.2036
16,14,0.2373
16,15,0.3452
16,21,0.2692
16,23,0.2922
16,26,0.457
16,28,0.3801
17,2,0.1103
17,11,0.1799
17,13,0.1811
17,16,0.4001
17,20,0.5083
17,30,0.174
18,13,0.1668
19,14,0.1848
19,15,0.1058
19,26,0.105
19,28,0.1448
20,2,0.1161
20,5,0.512
20,12,0.1365
20,23,0.1527
20,28,0.131
21,0,0.1481
21,6,0.9165
21,15,0.2698
22,8,0.2422
22,22,0.1443
22,27,0.2012
23,11,0.1269
23,15,0.5274
23,16,0.2088
23,18,0.2706
23,19,0.1897
23,21,0.3405
23,29,0.1237
23,31,0.1056
24,9,0.2385
24,12,0.2833
24,25,0.3852
25,2,0.8689
25,10,0.1728
25,24,0.1691
26,9,0.7347
26,23,0.1185
27,9,0.6855
27,10,0.2252
27,13,0.2022
27,24,0.1688
27,28,0.5691
28,1,0.8669
28,2,0.5041
28,4,0.5028
28,15,0.4097
28,28,0.5259
29,0,0.2858
29,13,0.3103
29,20,0.2731
29,24,0.4474
30,4,0.5508
30,20,0.1935
30,29,0.3115
30,31,0.1877
31,10,0.3714
