layer,head,reader_to_screen
0,0,0.1418
0,2,0.7023
0,4,0.398
0,5,0.4792
0,6,0.3236
0,8,0.3692
0,10,0.2915
0,11,0.3676
0,14,0.5799
0,16,0.6556
0,17,0.371
0,20,0.8263
0,21,0.4338
0,22,0.6652
0,23,0.1319
0,25,0.147
0,27,0.1991
0,30,0.3545
0,31,0.1688
1,2,0.2073
1,3,0.1349
1,4,0.4505
1,6,0.9614
1,8,0.4297
1,11,0.8892
1,12,0.9913
1,13,0.208
1,14,0.4689
1,15,0.4791
1,17,0.6967
1,18,0.665
1,19,0.11
1,20,0.141
1,21,0.7434
1,22,0.6099
1,23,0.4501
1,24,0.4882
1,25,0.8785
1,26,0.1663
1,27,0.4669
1,29,0.5445
1,30,0.4147
1,31,0.4143
2,0,0.1252
2,1,0.6668
2,2,0.1289
2,5,0.4491
2,8,0.163
2,10,0.1148
2,12,0.1075
2,17,0.4521
2,20,0.1578
2,22,0.1806
2,23,0.1002
2,24,0.1106
2,27,0.2185
2,28,0.2211
2,31,0.254
3,0,0.399
3,1,0.8207
3,10,0.2006
3,14,0.183
3,15,0.1898
3,16,0.1935
3,23,0.8858
3,26,0.2036
4,0,0.1182
4,4,0.4299
4,8,0.1414
4,10,0.6592
4,14,0.1065
4,16,0.8777
4,20,0.1776
4,21,0.1216
4,25,0.5704
4,26,0.1356
5,9,0.104
5,11,0.108
5,12,0.1473
5,13,0.1136
5,15,0.1221
5,17,0.3925
5,20,0.119
5,29,0.4906
6,6,0.8383
6,13,0.7026
6,17,0.1622
7,0,0.1441
7,8,0.244
7,9,0.4434
7,15,0.6687
7,27,0.1662
8,5,0.1152
8,9,0.1293
8,10,0.1745
8,11,0.3435
8,12,0.3523
8,13,0.3678
8,14,0.1068
8,20,0.8713
8,22,0.2919
9,1,0.1018
9,6,0.1761
9,16,0.1293
9,18,0.366
9,27,0.2007
9,30,0.1143
9,31,0.137
10,1,0.2249
10,5,0.1149
10,6,0.2209
10,14,0.3505
10,16,0.46
10,19,0.546
10,21,0.165
10,22,0.3724
10,25,0.1249
10,26,0.2129
10,27,0.9111
10,30,0.1518
10,31,0.1088
11,2,0.2463
11,8,0.1201
11,10,0.1739
11,23,0.3352
11,25,0.1613
12,10,0.257
12,14,0.1351
12,15,0.1903
12,21,0.1109
12,31,0.6616
13,16,0.1668
13,17,0.218
13,20,0.1611
13,21,0.1617
13,30,0.1285
14,5,0.2264
14,8,0.1903
14,12,0.2889
14,14,0.1537
14,17,0.1148
14,18,0.2432
15,5,0.5067
15,7,0.2567
15,17,0.2321
15,20,0.1272
15,22,0.4162
15,29,0.1042
16,3,0.1229
16,15,0.1736
16,17,0.1141
16,26,0.3451
17,6,0.2181
17,11,0.1787
17,19,0.1673
17,20,0.3121
18,29,0.1249
19,8,0.1341
19,12,0.1003
19,27,0.1095
20,1,0.4646
20,5,0.401
20,12,0.197
20,17,0.5272
20,20,0.1124
20,26,0.3282
20,28,0.1078
21,0,0.1399
21,4,0.1131
21,6,0.7802
21,8,0.1446
21,15,0.5885
21,24,0.1284
21,29,0.2375
22,2,0.1645
22,15,0.2357
22,22,0.1115
22,31,0.1949
23,12,0.3853
23,18,0.151
23,22,0.3272
24,5,0.5996
24,11,0.2092
24,15,0.1058
24,17,0.4034
24,21,0.1007
25,10,0.1255
25,23,0.183
26,13,0.1848
27,5,0.1597
27,8,0.4242
27,9,0.9217
27,10,0.1405
27,13,0.2689
27,27,0.417
27,28,0.8812
28,1,0.3336
28,15,0.2708
28,17,0.2023
29,0,0.6551
29,13,0.6187
30,4,0.9546
30,7,0.7923
30,20,0.2585
30,29,0.9792
31,4,0.195
31,10,0.5282
31,20,0.1167
