layer,head,reader_to_screen
0,0,0.2935
0,2,0.9527
0,5,0.1626
0,6,0.4937
0,7,0.3487
0,8,0.2108
0,10,0.1605
0,11,0.3358
0,12,0.2355
0,14,0.2052
0,16,0.8537
0,20,0.4438
0,21,0.8073
0,22,0.693
0,23,0.2292
0,25,0.5651
0,27,0.1106
0,30,0.7412
0,31,0.1835
1,1,0.2329
1,4,0.5874
1,6,0.895
1,10,0.3233
1,11,0.8848
1,12,0.9812
1,14,0.9856
1,15,0.7677
1,16,0.831
1,17,0.5605
1,18,0.1585
1,19,0.2174
1,20,0.215
1,21,0.9695
1,22,0.7627
1,23,0.7177
1,24,0.3376
1,25,0.9739
1,29,0.6602
1,30,0.6192
2,12,0.272
2,16,0.1842
2,17,0.2369
2,27,0.1231
2,30,0.1145
3,1,0.8968
3,16,0.1871
3,23,0.9145
3,26,0.2025
4,4,0.1039
4,16,0.8523
4,23,0.2721
4,25,0.2919
4,26,0.1356
5,15,0.1193
6,13,0.8197
7,0,0.1353
7,9,0.1117
8,10,0.2331
8,11,0.1816
8,14,0.1343
8,19,0.1275
9,13,0.1068
9,18,0.1416
10,14,0.1684
10,19,0.3753
10,21,0.1067
10,26,0.1601
10,27,0.5042
11,8,0.1652
11,19,0.1156
12,10,0.1963
12,31,0.5038
13,30,0.141
14,8,0.1259
14,12,0.1309
15,5,0.2263
15,18,0.128
15,27,0.2084
16,20,0.4882
17,6,0.1246
17,13,0.1272
18,14,0.2646
18,20,0.3403
18,31,0.1273
19,5,0.1123
19,31,0.121
20,2,0.377
20,3,0.1585
20,5,0.3337
20,17,0.1619
20,28,0.1263
21,0,0.3972
21,4,0.1076
21,12,0.2036
21,15,0.1707
21,17,0.1468
21,19,0.1441
21,24,0.1335
22,2,0.1683
22,5,0.1459
22,9,0.1318
23,2,0.1091
23,4,0.1178
23,11,0.2178
23,12,0.2002
23,18,0.3203
23,29,0.1248
24,9,0.1924
24,24,0.1109
25,2,0.8486
25,4,0.8688
25,10,0.2441
26,4,0.2081
26,9,0.5008
27,6,0.2371
27,9,0.8951
27,10,0.2761
27,13,0.1235
27,20,0.2914
27,28,0.1134
28,15,0.8479
28,22,0.1058
29,7,0.2967
29,14,0.5361
30,5,0.1406
30,11,0.1236
31,10,0.7475
