layer,top_prediction,target_rank,target_prob
0, an,550,0.00028750969795510173
1, record,565,0.0002945544838439673
2, record,908,0.00019632898329291493
3, record,833,0.00021005983580835164
4, record,785,0.00022004278434906155
5, parent,490,0.0003336360096000135
6, parent,698,0.00024777677026577294
7," """,785,0.00021454949455801398
8, single,1570,9.885813778964803e-05
9, particular,1094,0.0001406261435477063
10, particular,748,0.00020906956342514604
11, particular,868,0.00017341176862828434
12, particular,837,0.00016802511527203023
13, particular,707,0.00019461826013866812
14, particular,1042,0.00012124112254241481
15, particular,760,0.0001440851774532348
16, particular,476,0.0002505506854504347
17, particular,213,0.0005694975261576474
18, particular,99,0.0010984591208398342
19, particular,99,0.0011209131916984916
20, particular,83,0.00122042594011873
21, item,42,0.001850852626375854
22, element,37,0.0023540854454040527
23, element,30,0.0026632575318217278
24, element,20,0.002910903189331293
25, element,15,0.0016932227881625295
26, element,9,0.004077811725437641
27, element,9,0.003866073675453663
28, element,10,0.0016091081779450178
29, element,7,0.0013003475032746792
30, element,6,0.002183352131396532
31, element,6,0.0027519972063601017
32, element,5,0.009390231221914291
33, element,5,0.010901647619903088
34, element,3,0.025006355717778206
35, element,2,0.03439708054065704
