layer,attn_logit,mlp_logit,dominant
0,0.6455101370811462,1.3964929580688477,MLP
1,0.7304658889770508,0.6433604955673218,ATTN
2,0.6400774717330933,-0.2831529974937439,ATTN
3,0.5126200914382935,-0.3102095127105713,ATTN
4,-0.03614833950996399,0.39161384105682373,MLP
5,0.2341323047876358,-0.47247543931007385,MLP
6,0.6227938532829285,-1.0277018547058105,MLP
7,0.3992317318916321,-0.7564840316772461,MLP
8,0.3851228952407837,0.127753347158432,ATTN
9,1.2951996326446533,0.40458133816719055,ATTN
10,0.2664099633693695,0.13809359073638916,ATTN
11,1.0321613550186157,-0.594411313533783,ATTN
12,1.236706256866455,1.0682803392410278,ATTN
13,1.0725579261779785,0.36344608664512634,ATTN
14,0.5083990693092346,-0.13484513759613037,ATTN
15,1.7319759130477905,-0.26299503445625305,ATTN
16,3.655447483062744,-0.2354828119277954,ATTN
17,0.42179208993911743,-0.7919164896011353,MLP
18,2.0405523777008057,0.553486168384552,ATTN
19,1.8896126747131348,1.27775239944458,ATTN
20,1.5260379314422607,0.3878435492515564,ATTN
21,1.2766969203948975,3.2675082683563232,MLP
22,1.550126314163208,4.432799339294434,MLP
23,2.044660806655884,2.493593215942383,MLP
24,3.6899590492248535,3.9981937408447266,MLP
25,2.6889121532440186,5.557765007019043,MLP
26,3.1891515254974365,5.2500224113464355,MLP
27,-1.4846534729003906,8.226418495178223,MLP
28,4.756702899932861,5.613007545471191,MLP
29,1.0883777141571045,9.380586624145508,MLP
30,5.747955799102783,4.051379680633545,ATTN
31,2.8847997188568115,7.918186187744141,MLP
32,2.4718141555786133,7.879697799682617,MLP
33,2.9391379356384277,6.414541244506836,MLP
34,4.260655403137207,5.417272567749023,MLP
35,4.479600429534912,1.1651148796081543,ATTN
