layer,attn_logit,mlp_logit,dominant
0,1.233717679977417,2.3586573600769043,MLP
1,0.6348608732223511,0.1193997859954834,ATTN
2,0.19903670251369476,0.5901532173156738,MLP
3,-0.038193270564079285,1.2021591663360596,MLP
4,0.8916764855384827,-0.3170643448829651,ATTN
5,0.6714309453964233,1.52873694896698,MLP
6,0.9662712812423706,0.3169559836387634,ATTN
7,0.857164204120636,0.7323060035705566,ATTN
8,0.7669122219085693,0.2505645751953125,ATTN
9,0.6205987930297852,-0.15565502643585205,ATTN
10,0.3593776524066925,0.4138237237930298,MLP
11,1.0142887830734253,-0.8682905435562134,ATTN
12,0.7909806966781616,1.5256102085113525,MLP
13,-0.3919018507003784,1.0149672031402588,MLP
14,0.006409980356693268,0.053277015686035156,MLP
15,0.7227243185043335,-1.942096471786499,MLP
16,1.1868958473205566,0.5167749524116516,ATTN
17,2.0689566135406494,3.967641830444336,MLP
18,0.7625192403793335,1.8197393417358398,MLP
19,0.1440419852733612,0.5011383891105652,MLP
20,0.6381091475486755,0.04855860769748688,ATTN
21,6.240794658660889,3.3928914070129395,ATTN
22,0.15468904376029968,5.461668968200684,MLP
23,2.270357131958008,4.222712516784668,MLP
24,0.07652992755174637,0.6004078388214111,MLP
25,0.43476107716560364,1.2199946641921997,MLP
26,2.753467321395874,4.88276481628418,MLP
27,0.5819642543792725,2.3043553829193115,MLP
28,0.17250855267047882,-0.19304347038269043,MLP
29,0.1398785412311554,4.283709526062012,MLP
30,0.5278546810150146,9.52804946899414,MLP
31,2.7012124061584473,5.657397270202637,MLP
32,5.118577003479004,6.956249237060547,MLP
33,1.8415307998657227,5.596859931945801,MLP
34,2.518272638320923,10.021777153015137,MLP
35,0.8495984673500061,8.469453811645508,MLP
